time,pt1,pt2,pt3,pt4,pt5,max_val,W,L,Z
10.001,25.01385060498377,25.000064354780086,25.00000109945808,24.9999999975506,24.999999999554596,3108.694350456335,0.1542760894144938,0.5064777387115946,0.0768372670352164
10.00105,25.01457690320768,25.000089569920576,25.000003632988435,25.000000094722505,25.000000018328787,2381.869704181677,0.149355194310818,0.4494775567476018,0.0682831100848978
10.00205,25.48098438207644,25.003856249996623,25.000011406646447,24.99999994379448,24.99999999259181,3109.584167882773,0.1550406391160895,0.6800007884175332,0.0820511562396907
10.0021,25.505611681338618,25.00359794530433,25.00003030078263,25.00000068595734,25.00000026832782,2401.608903165126,0.1498619491565185,0.6263353952157179,0.0747244170334726
10.0031,28.845774705989527,25.045104908373723,25.000162771766423,24.999998055670805,24.99999964847605,3082.111482370512,0.1576765354200412,0.7905031128149528,0.0835202523175113
10.00315,28.950366242288023,25.0500756660483,25.00018198981688,24.999998663363584,24.99999999447045,2393.9371347058645,0.15120176882183,0.7371365450713194,0.076598201252934
10.00415,42.753603788855614,25.28041709444221,25.000797983838748,24.999992066540027,24.99999892543927,3102.610428541611,0.1623753266345069,0.8324567312265316,0.0860571358553375
10.0042,44.06842643312797,25.30700451317608,25.000765586470614,24.99999119043775,24.999999216244568,2413.6543433196607,0.1567098438164523,0.8002195560766265,0.079846344997191
10.0052,97.93839588947756,26.111003382322814,25.00248501028507,24.99999063372566,24.999999736251105,3111.4742145472496,0.1669267176084192,0.8553283695409604,0.0874750129389838
10.00525,102.48529459344788,26.19296804353132,25.002526197918765,24.99998998203996,24.99999985651994,2425.7840773158964,0.1605577144768369,0.825740119446472,0.0809223170412019
10.00625,253.3362417758768,28.266010928201705,25.00542683863732,25.000019394392915,25.00000536511851,3145.914071087055,0.1720771594721729,0.8792349678239797,0.0892829125317573
10.0063,264.134191221598,28.44525429467568,25.005386632308785,25.00001845980406,25.000005806385595,2451.0192680943755,0.1657580897251359,0.8514506228417182,0.0831883547249908
10.0073,569.5045219831206,32.73737781890881,25.010231760134975,25.00012500276751,25.00001596540505,3106.2575843937466,0.1743129267446823,0.8857388306199312,0.0891836859660415
10.00735,583.2735037425771,33.063399253334026,25.010393997915607,25.0001298434702,25.000016599642716,2428.89251678773,0.1678688375463748,0.8588425791678174,0.0829346953644074
10.00835,1006.0874730994072,40.48824052450853,25.019312252425813,25.00034060463335,25.000022768436047,3155.746337147012,0.1784899564663281,0.8972913485365116,0.0907221435786968
10.0084,1007.875084514042,41.00499089766521,25.019581695141905,25.000348705236647,25.00002358584442,2463.079797875137,0.1722904206718617,0.8721125813293108,0.0846809211091101
10.0094,1431.4107247634624,52.207595911082464,25.03962898432794,25.000646879576628,25.000008793367424,3112.1595836911088,0.1796768138752557,0.8983496761217681,0.0904896715100429
10.00945,1410.7609188716308,52.92137015454118,25.040617765315357,25.00066213184409,25.000008505117155,2436.9721913624544,0.1732415942409602,0.873809225783492,0.0842901868197006
10.01045,1665.3733550732452,67.91682197450444,25.08417585853354,25.00091889724053,24.999957991670247,3142.430673694084,0.1827597493607696,0.9060797562986918,0.0913079734876618
10.0105,1641.2275690946026,68.83848853246374,25.08630679639409,25.00092955444661,24.9999566648156,2457.0497583470637,0.1766512170902272,0.8850736846051586,0.0852925377648318
10.0115,1707.298745800362,87.04255838641348,25.17248773178823,25.000910027229423,24.99986972981772,3140.504905680958,0.1838357080141998,0.9059544987291566,0.0915640420247019
10.01155,1687.6611826810945,88.10276479593897,25.17691326319941,25.000909902582087,24.999866557881173,2459.203106340163,0.1774298843248656,0.884002702459909,0.0854368945984278
10.01255,1624.7564497279654,108.47425060694356,25.329345419879505,25.000254691486703,24.999770226515267,3150.3112364595027,0.1857553229468621,0.9140706260897448,0.0918879771560773
10.0126,1610.3690962227138,109.64312562046148,25.33710905159892,25.0002192995772,24.99976724883611,2463.404327058757,0.1797197368830789,0.8914752842446461,0.0859368435842434
10.0136,1436.722537455789,130.95133292499412,25.58258341927269,24.9985265858531,24.999716519158696,3140.5374918994294,0.1863948919383216,0.9104095636294364,0.0922303961736912
10.01365,1432.7716417465329,132.13490474779724,25.595076487190425,24.99844066281218,24.99971547316345,2461.370230778365,0.1801516923776008,0.888170802447447,0.0861030502091274
10.01465,1305.2334052412662,153.3043846906731,25.96034281072511,24.99530963441472,24.999789540576323,3154.141325605423,0.1887546435006867,0.9176537733179472,0.0928836820321864
10.0147,1300.531857067875,154.47343346502788,25.978830210123824,24.995148017584235,24.999795094784886,2467.9096560975318,0.1828488622001268,0.8948680546514468,0.0869109716735903
10.0157,1188.4854108618713,174.60724056565812,26.48805173100107,24.99030505101261,25.000078901693893,3163.639114572715,0.1889394588308603,0.9158780330846612,0.0927925282881015
10.01575,1184.1206067001067,175.69037076366294,26.51375179477506,24.990057961487373,25.00009455380854,2477.5137133189496,0.1827630696962563,0.8928263362950594,0.0866801547846777
10.01675,1105.5187423172977,194.19129651507868,27.186646059225865,24.98342135567645,25.000661375563272,3146.822315456629,0.1899946480805665,0.9202365534440602,0.0929128471572351
10.0168,1102.069349772274,195.181108743106,27.2206121194009,24.98308327082213,25.000691170507,2463.4026962886333,0.1842745583134007,0.8984417025078621,0.086821983053962
10.0178,1034.7965646575926,211.6761715110111,28.07060874299715,24.97486285145579,25.00157941904784,3168.846196945451,0.190031287170674,0.9171782058523968,0.0930638873560616
10.01785,1031.3943085599813,212.55397359025915,28.11344729128045,24.97444713330667,25.00162502474679,2480.889949883175,0.183954962889455,0.8940447617513603,0.0869601005454466
