time,pt1,pt2,pt3,pt4,pt5,max_val,L,W,Z
180.373752221237,176.5018506572405,176.82929115694964,176.99084602397969,177.0013285696338,176.8799478077105,3200.5861734586147,0.5890088864721396,0.1626037478252149,0.0819566725601943
180.373802221237,176.50163742845734,176.82904442016758,176.9905870832323,177.0010653918422,176.8796836420929,2460.871780180389,0.5376818757927956,0.1577415538568717,0.0750211393574613
180.374802221237,176.49767194411044,176.82411374148796,176.985410227099,176.99580285532932,176.8744010248116,3189.6458910992005,0.8245028819320677,0.1653548846327253,0.0867079295686275
180.374852221237,176.49747445380063,176.82386721771675,176.9851513891909,176.9955397310532,176.87413689568632,2482.580219089657,0.78979960998658,0.1615046582480435,0.0810501327478214
180.375852221237,176.49546222451897,176.81894197086788,176.979976601977,176.99027827446457,176.86885501682036,3148.205241562901,0.8943515076007691,0.1722655213199873,0.0892549036575953
180.375902221237,176.4953666686917,176.81869572174884,176.97971786754516,176.99001520420867,176.86859092463732,2460.7792490749757,0.8650295858960078,0.1661411043150994,0.0835653076750251
180.376902221237,176.50092805721914,176.81378179273366,176.97454516120456,176.98475483764304,176.8633097932267,3153.9560818951827,0.9066434027419932,0.1795730919980371,0.0923987931025012
180.376952221237,176.50122551383745,176.8135361246663,176.97428653084464,176.9844918219124,176.86304573843788,2476.172007881416,0.8830758484102588,0.1735241922516618,0.0863751199461493
180.377952221237,176.5277976790478,176.8086547849549,176.96911591353074,176.97923255546732,176.8577653635759,3176.107931233342,0.9275140385290912,0.1874188126717813,0.0933664926831366
180.378002221237,176.52917950360626,176.8084108007015,176.96885738764064,176.97896959476668,176.85750134663618,2492.087188303013,0.9077166979550464,0.1816010066142427,0.0878418666386735
180.379002221237,176.601835047565,176.80362240647742,176.9636888546011,176.97371143864157,176.85222173750415,3173.1195080716143,0.9328990125400662,0.1909662447315434,0.0957294619488399
180.379052221237,176.60558342769534,176.80338322250378,176.9634304329103,176.97344853348125,176.8519577588728,2498.3844004500897,0.9154319589270852,0.185181665318487,0.0899260991851909
180.380052221237,176.7632182082953,176.79882975569492,176.95826394867245,176.9681914984325,176.84667892479754,3178.3935770920307,0.9449580627139256,0.1965460985912369,0.0961933712510554
180.380102221237,176.77131133078012,176.79860267535958,176.95800562933,176.96792864935176,176.84641498494125,2501.786042005432,0.9256732525237764,0.1917640605893922,0.0904757624134431
180.381102221237,177.06611866289336,176.79457172408507,176.95284111231052,176.96267274772782,176.84113693543566,3206.746220012729,0.9468652437927813,0.1979027005694845,0.0980325854490911
180.381152221237,177.08119776528696,176.79437148819176,176.95258289112414,176.9624099553481,176.8408730348306,2526.814832606193,0.9286664949884778,0.193073200134807,0.0923359888062191
180.382152221237,177.57529081435484,176.79137863523584,176.94742024826027,176.957155202399,176.83559577955836,3207.929741586925,0.95375158187575,0.2029268613163238,0.0981828376574877
180.382202221237,177.60048453107404,176.79123158446777,176.9471621205586,176.95689246749004,176.8353319186879,2525.501199317744,0.939414435313398,0.1983300029283453,0.0923214082757354
180.383202221237,178.360327251836,176.7901121079504,176.94200143975067,176.95163888137807,176.83005546737644,3201.6525170684754,0.9525096682117562,0.2027038333136247,0.0996376706760598
180.383252221237,178.3989681083225,176.79006078791707,176.94174341040653,176.95137620485485,176.82979164672727,2526.9875072428954,0.9376531838359516,0.1979217428705911,0.0936848612926615
180.384252221237,179.48869402410108,176.7920572921147,176.9365854874678,176.94612380205697,176.82451600931495,3218.980434727865,0.9595437323040562,0.2072402945714847,0.0994345436216573
180.384302221237,179.5439819404945,176.79216482215787,176.93632759808304,176.94586118473808,176.82425222938446,2536.606873500496,0.9457941003779248,0.2025781960874914,0.0935272218882873
180.385302221237,181.01877875792127,176.7989962886703,176.93117502475314,176.9406099661766,176.81897741709153,3210.0791888853014,0.95662453845718,0.2060318828265843,0.100546624478249
180.385352221237,181.09345063178637,176.79934976698735,176.9309174094464,176.94034740806796,176.81871367844403,2535.0101336652647,0.9431996227523128,0.2012970890410442,0.0946058584250784
180.386352221237,182.9939736490984,176.81324965769886,176.92577645171875,176.93509733143298,176.8134397068243,3247.840495999392,0.9637322457492916,0.2114664323108513,0.1006771966453545
180.386402221237,183.09002660249516,176.81396199017797,176.92551943297417,176.9348348303096,176.81317601024855,2557.023235141359,0.9497797375743302,0.2066411488771216,0.0948305276966837
180.387402221237,185.4386201665508,176.8376775390504,176.92040286962205,176.92958576643065,176.80790290534196,3218.2595898054788,0.9602436134557932,0.2092671722328553,0.1015799844075087
180.387452221237,185.55712702888917,176.83888730988951,176.92014710253767,176.92932331561713,176.80763925216635,2541.8390922541557,0.9460458296478508,0.2045648726128845,0.0956225074964405
180.388452221237,188.35619238766785,176.87563767242045,176.9150780775937,176.92407499142772,176.80236706040753,3237.7930410524077,0.966868202787356,0.2144908957983964,0.1011316263746732
180.388502221237,188.49722523789453,176.87750695332642,176.91482474492813,176.92381257691517,176.8021034530046,2553.327401766381,0.9523318857159684,0.209201508607005,0.0952560057152448
180.389502221237,191.7297519985723,176.93090319422208,176.9098415380979,176.91856451368253,176.7968322544986,3230.5248654224897,0.963018863273718,0.2111564704079606,0.1021772596353751
180.389552221237,191.89241391104187,176.93361345377178,176.90959259095158,176.91830211103087,176.79656869695688,2552.4108197819064,0.9489315397675402,0.2065704705177849,0.0962615080449643
180.390552221237,195.5243128306084,177.00754757598443,176.90475405849446,176.9130535726581,176.79129862028074,3239.582109446017,0.9703556890088276,0.2171360783211943,0.101952886988021
180.390602221237,195.7068587770487,177.0112940590842,176.90451248989132,176.9127911444386,176.79103511914772,2554.214495864004,0.9554492042526606,0.2113751838754781,0.0959879456707798
180.391602221237,199.69062235676708,177.10980699530523,176.89990380573812,176.9075411152469,176.78576635433046,3230.963140780258,0.967587718809585,0.2137460202069223,0.1033850309955463
180.391652221237,199.8906453735952,177.1147920749217,176.89967393831154,176.90727861000573,176.7855029192568,2554.115573296427,0.9529573155842128,0.2092278375737962,0.0974935304565753
180.392652221237,204.16974832645428,177.24193174882555,176.89541219215397,176.9020258232912,176.7802357244421,3254.6030917073044,0.9775192684191498,0.2229005065262859,0.1050693234888094
180.392702221237,204.3844012440764,177.24835780783388,176.89519995761083,176.90176317710328,176.77997236849842,2569.4431170164257,0.9662981973106854,0.2178649263946674,0.099253743451254
180.393702221237,208.89787565779,177.40803823778998,176.8914391519403,176.89650621440717,176.77470706535394,3271.9355864701984,0.9858779654666086,0.2267201037264049,0.1106644289212802
180.394678822486,213.4640981644927,177.59678104087624,176.88839318310158,176.89136723194514,176.7695670051581,1675.2636630399743,0.5063230998226258,0.0982894033362902,0.0413305912018387
