TimeStep,"DTdt","T","Tn","Points:0","Points:1","Points:2"
12,0.022777,25.884,25.879,3.84,0,0
12,0.021326,25.877,25.872,3.8767,0,0
12,0.019954,25.869,25.865,3.9133,0,0
12,0.018657,25.861,25.858,3.95,0,0
12,0.017442,25.853,25.85,3.9867,0,0
12,0.016295,25.845,25.842,4.0233,0,0
12,0.015213,25.836,25.833,4.06,0,0
12,0.014192,25.827,25.824,4.0967,0,0
12,0.013235,25.818,25.815,4.1333,0,0
12,0.012338,25.808,25.805,4.17,0,0
12,0.011495,25.798,25.796,4.2067,0,0
12,0.010701,25.787,25.785,4.2433,0,0
12,0.0099558,25.777,25.775,4.28,0,0
12,0.0092628,25.766,25.764,4.3167,0,0
12,0.0086127,25.755,25.753,4.3533,0,0
12,0.0080031,25.743,25.741,4.39,0,0
12,0.0074322,25.731,25.73,4.4267,0,0
12,0.0069004,25.719,25.718,4.4633,0,0
12,0.0064055,25.707,25.705,4.5,0,0
12,0.0059429,25.694,25.693,4.5367,0,0
12,0.0055109,25.681,25.68,4.5733,0,0
12,0.0051077,25.668,25.667,4.61,0,0
12,0.0047357,25.655,25.654,4.6467,0,0
12,0.004389,25.641,25.64,4.6833,0,0
12,0.0040662,25.627,25.627,4.72,0,0
12,0.0037659,25.614,25.613,4.7567,0,0
12,0.0034882,25.6,25.599,4.7933,0,0
12,0.0032318,25.585,25.585,4.83,0,0
12,0.0029937,25.571,25.571,4.8667,0,0
12,0.002773,25.557,25.556,4.9033,0,0
12,0.0025685,25.542,25.542,4.94,0,0
12,0.0023813,25.528,25.527,4.9767,0,0
12,0.0022082,25.513,25.513,5.0133,0,0
12,0.0020482,25.499,25.498,5.05,0,0
12,0.0019004,25.484,25.484,5.0867,0,0
12,0.001765,25.47,25.469,5.1233,0,0
12,0.0016409,25.455,25.455,5.16,0,0
12,0.0015266,25.441,25.44,5.1967,0,0
12,0.0014215,25.426,25.426,5.2333,0,0
12,0.0013249,25.412,25.412,5.27,0,0
12,0.0012374,25.398,25.398,5.3067,0,0
12,0.0011571,25.384,25.384,5.3433,0,0
12,0.0010836,25.37,25.37,5.38,0,0
12,0.0010163,25.356,25.356,5.4167,0,0
12,0.00095522,25.343,25.343,5.4533,0,0
12,0.00089987,25.329,25.329,5.49,0,0
12,0.0008494,25.316,25.316,5.5267,0,0
12,0.00080347,25.303,25.303,5.5633,0,0
12,0.00076173,25.291,25.291,5.6,0,0
12,0.00072441,25.278,25.278,5.6367,0,0
12,0.00069059,25.266,25.266,5.6733,0,0
12,0.00066001,25.254,25.254,5.71,0,0
12,0.00063242,25.243,25.243,5.7467,0,0
12,0.00060777,25.231,25.231,5.7833,0,0
12,0.00058581,25.22,25.22,5.82,0,0
12,0.00056613,25.21,25.21,5.8567,0,0
12,0.00054855,25.199,25.199,5.8933,0,0
12,0.0005329,25.189,25.189,5.93,0,0
12,0.00051928,25.18,25.18,5.9667,0,0
12,0.00050725,25.17,25.17,6.0033,0,0
12,0.00049668,25.161,25.161,6.04,0,0
12,0.00048745,25.152,25.152,6.0767,0,0
12,0.00047953,25.144,25.144,6.1133,0,0
12,0.0004728,25.136,25.136,6.15,0,0
12,0.00046708,25.128,25.128,6.1867,0,0
12,0.00046228,25.12,25.12,6.2233,0,0
12,0.00045832,25.113,25.113,6.26,0,0
12,0.00045524,25.106,25.106,6.2967,0,0
12,0.00045284,25.1,25.1,6.3333,0,0
12,0.00045107,25.094,25.094,6.37,0,0
12,0.00044988,25.088,25.088,6.4067,0,0
12,0.00044925,25.082,25.082,6.4433,0,0
12,0.00044913,25.077,25.076,6.48,0,0
12,0.00044943,25.071,25.071,6.5167,0,0
12,0.00045012,25.067,25.066,6.5533,0,0
12,0.00045117,25.062,25.062,6.59,0,0
12,0.00045259,25.058,25.058,6.6267,0,0
12,0.00045431,25.054,25.053,6.6633,0,0
12,0.00045629,25.05,25.05,6.7,0,0
12,0.00045852,25.046,25.046,6.7367,0,0
12,0.00046098,25.043,25.043,6.7733,0,0
12,0.00046367,25.039,25.039,6.81,0,0
12,0.00046654,25.036,25.036,6.8467,0,0
12,0.00046958,25.034,25.034,6.8833,0,0
12,0.00047278,25.031,25.031,6.92,0,0
12,0.00047615,25.029,25.028,6.9567,0,0
12,0.00047964,25.026,25.026,6.9933,0,0
12,0.00048326,25.024,25.024,7.03,0,0
12,0.000487,25.022,25.022,7.0667,0,0
12,0.00049085,25.02,25.02,7.1033,0,0
12,0.0004948,25.019,25.018,7.14,0,0
12,0.00049885,25.017,25.017,7.1767,0,0
12,0.00050299,25.015,25.015,7.2133,0,0
12,0.00050721,25.014,25.014,7.25,0,0
12,0.00051151,25.013,25.013,7.2867,0,0
12,0.0005159,25.012,25.012,7.3233,0,0
12,0.00052035,25.011,25.011,7.36,0,0
12,0.00052486,25.01,25.01,7.3967,0,0
12,0.00052945,25.009,25.009,7.4333,0,0
12,0.00053411,25.008,25.008,7.47,0,0
12,0.00053882,25.007,25.007,7.5067,0,0
12,0.0005436,25.007,25.006,7.5433,0,0
12,0.00054843,25.006,25.006,7.58,0,0
12,0.00055333,25.005,25.005,7.6167,0,0
12,0.00055828,25.005,25.005,7.6533,0,0
12,0.00056328,25.004,25.004,7.69,0,0
12,0.00056834,25.004,25.004,7.7267,0,0
12,0.00057345,25.004,25.003,7.7633,0,0
12,0.00057862,25.003,25.003,7.8,0,0
12,0.00058384,25.003,25.003,7.8367,0,0
12,0.00058911,25.003,25.002,7.8733,0,0
12,0.00059443,25.002,25.002,7.91,0,0
12,0.00059981,25.002,25.002,7.9467,0,0
12,0.00060524,25.002,25.002,7.9833,0,0
12,0.00061072,25.002,25.002,8.02,0,0
12,0.00061625,25.001,25.001,8.0567,0,0
12,0.00062184,25.001,25.001,8.0933,0,0
12,0.00062748,25.001,25.001,8.13,0,0
12,0.00063317,25.001,25.001,8.1667,0,0
12,0.00063892,25.001,25.001,8.2033,0,0
12,0.00064471,25.001,25.001,8.24,0,0
12,0.00065057,25.001,25.001,8.2767,0,0
