"T","Tn","Points:0","Points:1","Points:2"
25.656,25.655,0.64,0,0
25.645,25.644,0.67,0,0
25.634,25.633,0.7,0,0
25.623,25.622,0.73,0,0
25.612,25.611,0.76,0,0
25.6,25.599,0.79,0,0
25.589,25.588,0.82,0,0
25.577,25.576,0.85,0,0
25.565,25.565,0.88,0,0
25.554,25.553,0.91,0,0
25.542,25.541,0.94,0,0
25.53,25.529,0.97,0,0
25.518,25.518,1,0,0
25.506,25.506,1.03,0,0
25.494,25.494,1.06,0,0
25.482,25.482,1.09,0,0
25.471,25.47,1.12,0,0
25.459,25.458,1.15,0,0
25.447,25.447,1.18,0,0
25.435,25.435,1.21,0,0
25.423,25.423,1.24,0,0
25.412,25.411,1.27,0,0
25.4,25.4,1.3,0,0
25.389,25.388,1.33,0,0
25.377,25.377,1.36,0,0
25.366,25.366,1.39,0,0
25.355,25.355,1.42,0,0
25.344,25.344,1.45,0,0
25.333,25.333,1.48,0,0
25.322,25.322,1.51,0,0
25.311,25.311,1.54,0,0
25.301,25.301,1.57,0,0
25.291,25.29,1.6,0,0
25.28,25.28,1.63,0,0
25.27,25.27,1.66,0,0
25.261,25.261,1.69,0,0
25.251,25.251,1.72,0,0
25.242,25.241,1.75,0,0
25.232,25.232,1.78,0,0
25.223,25.223,1.81,0,0
25.214,25.214,1.84,0,0
25.206,25.206,1.87,0,0
25.197,25.197,1.9,0,0
25.189,25.189,1.93,0,0
25.181,25.181,1.96,0,0
25.173,25.173,1.99,0,0
25.166,25.166,2.02,0,0
25.159,25.159,2.05,0,0
25.151,25.151,2.08,0,0
25.145,25.144,2.11,0,0
25.138,25.138,2.14,0,0
25.131,25.131,2.17,0,0
25.125,25.125,2.2,0,0
25.119,25.119,2.23,0,0
25.113,25.113,2.26,0,0
25.108,25.108,2.29,0,0
25.102,25.102,2.32,0,0
25.097,25.097,2.35,0,0
25.092,25.092,2.38,0,0
25.087,25.087,2.41,0,0
25.082,25.082,2.44,0,0
25.078,25.078,2.47,0,0
25.074,25.074,2.5,0,0
25.07,25.07,2.53,0,0
25.066,25.066,2.56,0,0
25.062,25.062,2.59,0,0
25.058,25.058,2.62,0,0
25.055,25.055,2.65,0,0
25.052,25.052,2.68,0,0
25.049,25.049,2.71,0,0
25.046,25.046,2.74,0,0
25.043,25.043,2.77,0,0
25.04,25.04,2.8,0,0
25.038,25.038,2.83,0,0
25.035,25.035,2.86,0,0
25.033,25.033,2.89,0,0
25.031,25.031,2.92,0,0
25.029,25.029,2.95,0,0
25.027,25.027,2.98,0,0
25.025,25.025,3.01,0,0
25.023,25.023,3.04,0,0
25.022,25.022,3.07,0,0
25.02,25.02,3.1,0,0
25.019,25.019,3.13,0,0
25.018,25.018,3.16,0,0
25.016,25.016,3.19,0,0
25.015,25.015,3.22,0,0
25.014,25.014,3.25,0,0
25.013,25.013,3.28,0,0
25.012,25.012,3.31,0,0
25.011,25.011,3.34,0,0
25.01,25.01,3.37,0,0
25.009,25.009,3.4,0,0
25.009,25.009,3.43,0,0
25.008,25.008,3.46,0,0
25.007,25.007,3.49,0,0
25.007,25.007,3.52,0,0
25.006,25.006,3.55,0,0
25.006,25.006,3.58,0,0
25.005,25.005,3.61,0,0
25.005,25.005,3.64,0,0
25.004,25.004,3.67,0,0
25.004,25.004,3.7,0,0
25.004,25.004,3.73,0,0
25.003,25.003,3.76,0,0
25.003,25.003,3.79,0,0
25.003,25.003,3.82,0,0
25.003,25.003,3.85,0,0
25.002,25.002,3.88,0,0
25.002,25.002,3.91,0,0
25.002,25.002,3.94,0,0
25.002,25.002,3.97,0,0
25.002,25.002,4,0,0
25.001,25.001,4.03,0,0
25.001,25.001,4.06,0,0
25.001,25.001,4.09,0,0
25.001,25.001,4.12,0,0
25.001,25.001,4.15,0,0
25.001,25.001,4.18,0,0
25.001,25.001,4.21,0,0
25.001,25.001,4.24,0,0
25.001,25.001,4.27,0,0
25.001,25.001,4.3,0,0
25.001,25.001,4.33,0,0
25.001,25.001,4.36,0,0
25,25,4.39,0,0
25,25,4.42,0,0
25,25,4.45,0,0
25,25,4.48,0,0
25,25,4.51,0,0
25,25,4.54,0,0
25,25,4.57,0,0
25,25,4.6,0,0
25,25,4.63,0,0
25,25,4.66,0,0
25,25,4.69,0,0
25,25,4.72,0,0
25,25,4.75,0,0
25,25,4.78,0,0
25,25,4.81,0,0
25,25,4.84,0,0
25,25,4.87,0,0
25,25,4.9,0,0
25,25,4.93,0,0
25,25,4.96,0,0
25,25,4.99,0,0
25,25,5.02,0,0
