x,uh
-1.0,33.019
-0.99687,33.059
-0.99375,33.179
-0.99063,33.38
-0.9875,33.664
-0.98438,34.031
-0.98125,34.485
-0.97812,35.029
-0.975,35.665
-0.97188,36.398
-0.96875,37.233
-0.96562,38.174
-0.9625,39.227
-0.95938,40.398
-0.95625,41.694
-0.95312,43.121
-0.95,44.689
-0.94687,46.403
-0.94375,48.274
-0.94063,50.31
-0.9375,52.521
-0.93437,54.917
-0.93125,57.508
-0.92813,60.306
-0.925,63.32
-0.92188,66.562
-0.91875,70.045
-0.91562,73.779
-0.9125,77.777
-0.90938,82.05
-0.90625,86.611
-0.90312,91.472
-0.9,96.643
-0.89688,102.14
-0.89375,107.97
-0.89062,114.14
-0.8875,120.66
-0.88437,127.55
-0.88125,134.82
-0.87813,142.46
-0.875,150.49
-0.87187,158.92
-0.86875,167.74
-0.86563,176.96
-0.8625,186.59
-0.85938,196.62
-0.85625,207.06
-0.85312,217.89
-0.85,229.12
-0.84688,240.75
-0.84375,252.75
-0.84062,265.13
-0.8375,277.87
-0.83438,290.97
-0.83125,304.39
-0.82812,318.14
-0.825,332.18
-0.82187,346.51
-0.81875,361.09
-0.81563,375.91
-0.8125,390.94
-0.80937,406.15
-0.80625,421.53
-0.80313,437.04
-0.8,452.65
-0.79688,468.34
-0.79375,484.07
-0.79062,499.82
-0.7875,515.56
-0.78438,531.26
-0.78125,546.88
-0.77812,562.4
-0.775,577.8
-0.77188,593.04
-0.76875,608.1
-0.76562,622.95
-0.7625,637.56
-0.75937,651.93
-0.75625,666.02
-0.75313,679.82
-0.75,693.3
-0.74687,706.46
-0.74375,719.27
-0.74063,731.72
-0.7375,743.82
-0.73438,755.53
-0.73125,766.86
-0.72812,777.81
-0.725,788.37
-0.72188,798.53
-0.71875,808.3
-0.71562,817.68
-0.7125,826.67
-0.70938,835.27
-0.70625,843.5
-0.70312,851.36
-0.7,858.85
-0.69687,865.99
-0.69375,872.78
-0.69063,879.24
-0.6875,885.38
-0.68437,891.2
-0.68125,896.72
-0.67813,901.96
-0.675,906.92
-0.67188,911.62
-0.66875,916.06
-0.66562,920.27
-0.6625,924.26
-0.65938,928.03
-0.65625,931.6
-0.65312,934.98
-0.65,938.18
-0.64688,941.21
-0.64375,944.09
-0.64062,946.82
-0.6375,949.42
-0.63437,951.88
-0.63125,954.23
-0.62813,956.47
-0.625,958.6
-0.62187,960.64
-0.61875,962.59
-0.61563,964.46
-0.6125,966.26
-0.60938,967.98
-0.60625,969.64
-0.60312,971.24
-0.6,972.79
-0.59688,974.29
-0.59375,975.74
-0.59062,977.15
-0.5875,978.52
-0.58438,979.86
-0.58125,981.16
-0.57812,982.43
-0.575,983.68
-0.57187,984.9
-0.56875,986.1
-0.56563,987.28
-0.5625,988.44
-0.55937,989.58
-0.55625,990.71
-0.55313,991.83
-0.55,992.93
-0.54688,994.03
-0.54375,995.11
-0.54062,996.2
-0.5375,997.27
