x,uh
-1.0,33.61
-0.99687,33.648
-0.99375,33.761
-0.99063,33.95
-0.9875,34.217
-0.98438,34.563
-0.98125,34.99
-0.97812,35.502
-0.975,36.101
-0.97188,36.792
-0.96875,37.578
-0.96562,38.464
-0.9625,39.457
-0.95938,40.561
-0.95625,41.784
-0.95312,43.132
-0.95,44.612
-0.94687,46.234
-0.94375,48.005
-0.94063,49.935
-0.9375,52.033
-0.93437,54.31
-0.93125,56.777
-0.92813,59.444
-0.925,62.323
-0.92188,65.427
-0.91875,68.767
-0.91562,72.356
-0.9125,76.208
-0.90938,80.336
-0.90625,84.753
-0.90312,89.472
-0.9,94.508
-0.89688,99.872
-0.89375,105.58
-0.89062,111.64
-0.8875,118.07
-0.88437,124.88
-0.88125,132.08
-0.87813,139.69
-0.875,147.7
-0.87187,156.13
-0.86875,164.99
-0.86563,174.28
-0.8625,184.01
-0.85938,194.18
-0.85625,204.79
-0.85312,215.83
-0.85,227.32
-0.84688,239.24
-0.84375,251.59
-0.84062,264.35
-0.8375,277.52
-0.83438,291.09
-0.83125,305.04
-0.82812,319.35
-0.825,334.0
-0.82187,348.98
-0.81875,364.26
-0.81563,379.81
-0.8125,395.62
-0.80937,411.64
-0.80625,427.85
-0.80313,444.23
-0.8,460.74
-0.79688,477.35
-0.79375,494.02
-0.79062,510.73
-0.7875,527.44
-0.78438,544.11
-0.78125,560.72
-0.77812,577.23
-0.775,593.61
-0.77188,609.83
-0.76875,625.86
-0.76562,641.67
-0.7625,657.23
-0.75937,672.52
-0.75625,687.51
-0.75313,702.18
-0.75,716.5
-0.74687,730.47
-0.74375,744.05
-0.74063,757.24
-0.7375,770.02
-0.73438,782.38
-0.73125,794.3
-0.72812,805.79
-0.725,816.84
-0.72188,827.44
-0.71875,837.6
-0.71562,847.32
-0.7125,856.6
-0.70938,865.45
-0.70625,873.88
-0.70312,881.9
-0.7,889.52
-0.69687,896.76
-0.69375,903.62
-0.69063,910.12
-0.6875,916.27
-0.68437,922.09
-0.68125,927.6
-0.67813,932.81
-0.675,937.74
-0.67188,942.39
-0.66875,946.78
-0.66562,950.94
-0.6625,954.87
-0.65938,958.58
-0.65625,962.09
-0.65312,965.41
-0.65,968.55
-0.64688,971.52
-0.64375,974.34
-0.64062,977.01
-0.6375,979.55
-0.63437,981.95
-0.63125,984.23
-0.62813,986.4
-0.625,988.47
-0.62187,990.43
-0.61875,992.3
-0.61563,994.08
-0.6125,995.78
-0.60938,997.39
-0.60625,998.93
-0.60312,1000.4
-0.6,1001.8
-0.59688,1003.1
-0.59375,1004.4
-0.59062,1005.6
-0.5875,1006.7
-0.58438,1007.8
-0.58125,1008.9
-0.57812,1009.8
-0.575,1010.7
-0.57187,1011.6
-0.56875,1012.4
-0.56563,1013.2
-0.5625,1013.9
-0.55937,1014.6
-0.55625,1015.2
-0.55313,1015.9
-0.55,1016.4
-0.54688,1017.0
-0.54375,1017.6
-0.54062,1018.2
-0.5375,1018.8
-0.53438,1019.5
-0.53125,1020.1
-0.52812,1020.9
-0.525,1021.6
-0.52188,1022.5
-0.51875,1023.3
-0.51562,1024.3
-0.5125,1025.2
-0.50937,1026.2
-0.50625,1027.3
-0.50313,1028.4
-0.5,1029.5
-0.49687,1030.7
-0.49375,1031.9
-0.49062,1033.2
-0.4875,1034.5
-0.48438,1035.8
-0.48125,1037.1
-0.47813,1038.5
-0.475,1039.8
