time,pt1,pt2,pt3,pt4,pt5,max_val,X,Y,Z
4.5,24.99999999972492,25.0,25.0,25.0,24.999999999999996,25.0,nan,nan,nan
9.0,24.99999999972492,25.0,25.0,25.0,24.999999999999996,25.0,nan,nan,nan
9.5,25.0,25.0,25.0,25.0,24.999999999999996,25.0,nan,nan,nan
10.0,25.0,25.0,25.0,25.0,24.999999999999996,25.0,nan,nan,nan
10.001,25.01385060498377,25.000064354780086,25.000001099458082,24.9999999975506,24.999999999554593,3108.694350456335,0.15427608941449383,0.5064777387115946,0.07683726703521647
10.00105,25.014576903207676,25.000089569920576,25.000003632988435,25.000000094722502,25.000000018328787,2381.869704181677,0.14935519431081806,0.44947755674760187,0.06828311008489785
10.00205,25.480984382076436,25.003856249996623,25.000011406646447,24.999999943794478,24.999999992591814,3109.584167882773,0.15504063911608956,0.6800007884175332,0.0820511562396907
10.0021,25.505611681338618,25.003597945304335,25.00003030078263,25.00000068595734,25.00000026832782,2401.608903165126,0.14986194915651851,0.6263353952157179,0.07472441703347267
10.0031,28.845774705989527,25.045104908373723,25.000162771766426,24.999998055670805,24.999999648476052,3082.111482370512,0.15767653542004123,0.7905031128149528,0.08352025231751134
10.00315,28.950366242288023,25.0500756660483,25.00018198981688,24.999998663363584,24.99999999447045,2393.9371347058645,0.15120176882183006,0.7371365450713194,0.07659820125293401
10.00415,42.753603788855614,25.280417094442214,25.000797983838748,24.999992066540027,24.99999892543927,3102.610428541611,0.16237532663450696,0.8324567312265316,0.0860571358553375
10.0042,44.06842643312797,25.30700451317608,25.000765586470614,24.99999119043775,24.999999216244568,2413.6543433196607,0.15670984381645237,0.8002195560766265,0.07984634499719107
10.0052,97.93839588947755,26.111003382322814,25.00248501028507,24.99999063372566,24.999999736251105,3111.4742145472496,0.16692671760841923,0.8553283695409604,0.08747501293898383
10.00525,102.48529459344788,26.192968043531316,25.002526197918765,24.999989982039956,24.99999985651994,2425.7840773158964,0.16055771447683698,0.825740119446472,0.08092231704120192
10.00625,253.33624177587677,28.266010928201702,25.00542683863732,25.000019394392915,25.00000536511851,3145.914071087055,0.17207715947217295,0.8792349678239797,0.0892829125317573
10.0063,264.134191221598,28.445254294675678,25.005386632308785,25.00001845980406,25.000005806385595,2451.0192680943755,0.1657580897251359,0.8514506228417182,0.08318835472499084
10.0073,569.5045219831206,32.73737781890881,25.010231760134978,25.00012500276751,25.000015965405055,3106.2575843937466,0.17431292674468232,0.8857388306199312,0.08918368596604152
10.00735,583.2735037425771,33.063399253334026,25.010393997915607,25.0001298434702,25.000016599642713,2428.89251678773,0.1678688375463748,0.8588425791678174,0.08293469536440741
10.00835,1006.0874730994071,40.48824052450853,25.019312252425813,25.00034060463335,25.000022768436047,3155.7463371470117,0.17848995646632815,0.8972913485365116,0.0907221435786968
10.0084,1007.8750845140421,41.00499089766521,25.019581695141902,25.000348705236647,25.00002358584442,2463.079797875137,0.17229042067186176,0.8721125813293108,0.08468092110911014
10.0094,1431.4107247634624,52.207595911082464,25.03962898432794,25.000646879576628,25.000008793367424,3112.1595836911088,0.17967681387525578,0.8983496761217681,0.09048967151004295
10.00945,1410.7609188716308,52.92137015454118,25.040617765315353,25.000662131844095,25.000008505117155,2436.9721913624544,0.1732415942409602,0.873809225783492,0.08429018681970063
10.01045,1665.3733550732452,67.91682197450444,25.08417585853354,25.000918897240535,24.999957991670247,3142.430673694084,0.18275974936076966,0.9060797562986918,0.09130797348766181
10.0105,1641.2275690946026,68.83848853246374,25.086306796394094,25.000929554446614,24.999956664815596,2457.0497583470633,0.1766512170902272,0.8850736846051586,0.08529253776483184
10.0115,1707.298745800362,87.04255838641348,25.17248773178823,25.000910027229423,24.999869729817718,3140.504905680958,0.1838357080141998,0.9059544987291566,0.0915640420247019
10.01155,1687.6611826810945,88.10276479593897,25.17691326319941,25.000909902582087,24.999866557881173,2459.203106340163,0.17742988432486562,0.884002702459909,0.08543689459842788
10.01255,1624.7564497279654,108.47425060694357,25.329345419879505,25.000254691486703,24.999770226515267,3150.3112364595027,0.18575532294686212,0.9140706260897447,0.09188797715607738
10.0126,1610.3690962227138,109.64312562046148,25.337109051598922,25.000219299577196,24.99976724883611,2463.404327058757,0.17971973688307896,0.8914752842446461,0.08593684358424343
10.0136,1436.722537455789,130.95133292499412,25.582583419272694,24.9985265858531,24.999716519158696,3140.5374918994294,0.18639489193832165,0.9104095636294365,0.09223039617369128
10.01365,1432.7716417465329,132.13490474779724,25.595076487190425,24.99844066281218,24.99971547316345,2461.370230778365,0.18015169237760087,0.888170802447447,0.08610305020912745
10.01465,1305.2334052412662,153.3043846906731,25.96034281072511,24.995309634414717,24.999789540576323,3154.141325605423,0.18875464350068671,0.9176537733179472,0.09288368203218642
10.0147,1300.531857067875,154.47343346502788,25.978830210123824,24.995148017584235,24.999795094784886,2467.9096560975313,0.1828488622001268,0.8948680546514468,0.08691097167359033
10.0157,1188.4854108618713,174.60724056565812,26.48805173100107,24.990305051012612,25.000078901693893,3163.639114572715,0.18893945883086039,0.9158780330846612,0.09279252828810153
10.01575,1184.1206067001067,175.69037076366294,26.51375179477506,24.990057961487373,25.00009455380854,2477.5137133189496,0.18276306969625639,0.8928263362950594,0.08668015478467778
10.01675,1105.5187423172977,194.19129651507868,27.186646059225865,24.983421355676455,25.000661375563272,3146.8223154566294,0.1899946480805665,0.9202365534440602,0.0929128471572351
10.0168,1102.0693497722739,195.181108743106,27.2206121194009,24.98308327082213,25.000691170506997,2463.4026962886333,0.18427455831340078,0.8984417025078621,0.08682198305396203
