time,pt1,pt2,pt3,pt4,pt5,max_val,X,Y,Z
4.5,24.99999999972492,25.0,25.0,25.0,24.999999999999996,25.0,nan,nan,nan
9.0,24.99999999972492,25.0,25.0,25.0,24.999999999999996,25.0,nan,nan,nan
9.5,25.0,25.0,25.0,25.0,24.999999999999996,25.0,nan,nan,nan
10.0,25.0,25.0,25.0,25.0,24.999999999999996,25.0,nan,nan,nan
10.001,25.002822741066524,25.000049501401058,25.000001133380984,24.999999973137538,24.99999999608738,2905.1584274855913,0.15059014273535265,0.5110894608282114,0.074261609639433
10.00105,25.00297173600464,25.00005573243834,25.00000033279307,24.999999964339587,24.99999999643888,2265.5569678775864,0.14278239689381483,0.45146391650524337,0.06533174790038401
10.00205,25.451238260807592,25.00696063614986,25.000028497364752,24.999999980108647,24.99999997081769,2922.8054483134147,0.15163799587790477,0.7625642655260665,0.07953106011097875
10.0021,25.474263314505997,25.00759285224145,25.00003244311548,25.000000050082726,24.999999988674723,2276.8413581749155,0.14549679285554723,0.6761985220624315,0.07146892089045787
10.0031,28.627844180716316,25.063620412072567,25.000134860906403,24.999997588507753,24.999999595868942,2949.988330934907,0.16077281489943535,0.8857671587603702,0.08394331291427579
10.00315,28.65645317783678,25.067718289283512,25.000135478515773,24.99999755960866,24.99999966303069,2327.8354714906122,0.15426530845934983,0.8447531874946697,0.07712725493394404
10.00415,41.24364132181352,25.336802036423315,25.000713546340585,24.999992739034447,24.999999059882008,2949.2538399186465,0.16971665561810143,0.9306007334477244,0.0874501686097767
10.0042,42.56687946858423,25.355515607898898,25.00072841020005,24.999992414157308,24.99999911330217,2340.0468654482183,0.1629061398568932,0.9052667941082913,0.08099942915369268
10.0052,99.80197181763418,26.248341154545457,25.002218982963598,24.999989320226646,24.999999578192895,2991.2258252203314,0.18316707603441568,0.9442982559591402,0.09116588010945081
10.00525,105.21323455521548,26.308033322543615,25.002262912081065,24.99998875559602,24.99999965577027,2383.0103632178807,0.175953086956269,0.9219720421861199,0.0847242555903789
10.00625,283.5413099934241,28.575637458248817,25.005005151978303,25.000017712211402,25.00000486043767,2992.4736286987672,0.19595044321783955,0.962498875833377,0.09455672238842927
10.0063,297.5556031140814,28.71612239307504,25.005083447830824,25.000018386190753,25.000005125570674,2385.896683935737,0.18958636824822228,0.9394317314763526,0.08792952817636888
10.0073,656.1148227085853,33.34948858450821,25.009408294685215,25.000124434345338,25.000014901307324,3023.614421220026,0.207480844601349,0.9664151106668575,0.09733066756221335
10.00735,669.702910712363,33.622107244647836,25.009568360669522,25.0001289322612,25.0000153905967,2414.929261277846,0.20119678060298912,0.9454244229439575,0.09084663150302193
10.00835,1138.4063478120815,41.66332804885397,25.017848477054738,25.000359318806353,25.00002200929394,3015.351302029849,0.2175475520292735,0.9751759887792553,0.10076697201216264
10.0084,1134.4644398338596,42.113567136484264,25.018181796412374,25.000369927709464,25.000022333671623,2411.5873849683176,0.2117330482471516,0.9577372373380204,0.09426602478312243
10.0094,1536.9606291816244,54.23533000923891,25.037231701773518,25.00071264333384,25.00000848457723,3045.3418011436875,0.22573606612734168,0.9758152218218025,0.10337450031503884
10.00945,1516.7563545413473,54.89304791116395,25.038144354606786,25.00072911488109,25.00000784656125,2436.671004132953,0.22028461917812403,0.9591321331268703,0.09695345415539064
10.01045,1744.276089518959,71.302941700562,25.08142957452283,25.001070954057134,24.99995732643155,3029.143792353298,0.23273801822715426,0.9838259241940681,0.10589595401145745
10.0105,1720.267481391838,72.16877954349827,25.083558371581674,25.001087123199667,24.999954895319657,2427.3789489133565,0.22704199071790604,0.9650695660908855,0.09955227381196415
10.0115,1802.1485096299564,92.33581218341736,25.17172137926434,25.001172092264966,24.999865688957286,3060.031882544986,0.2398393984958102,0.9827898252533092,0.10773605521207544
10.01155,1775.798748976794,93.38120353938632,25.176172319809453,25.00117524989639,24.999861431138253,2450.843302563931,0.23419519424952573,0.9650853995287061,0.10141118062309445
10.01255,1769.1207629848323,116.35362376682289,25.336202675276446,25.00061440215433,24.999759949799714,3038.9838535724666,0.2449258933331618,0.9903293356417776,0.10950104684938322
10.0126,1749.3463165869111,117.52580231392974,25.344299076993224,25.000584331873135,24.999755157672222,2438.3566865840407,0.23968716636611395,0.970408752436642,0.10327396853699622
10.0136,1666.570791736681,142.01408837688757,25.60716484667837,24.998897821917556,24.999700250500233,3070.681939608736,0.2500944384835195,0.9878533600671873,0.11080560893146418
10.01365,1656.775521033128,143.251548605487,25.620496682151682,24.99881068649806,24.999697985119678,2460.6094052983753,0.2449089628202783,0.9694848554621867,0.10452619906303179
10.01465,1522.0889369974775,168.013344663123,26.0184131813987,24.995512788785717,24.999776788887193,3047.7412176082603,0.25352182311931176,0.9937598068709861,0.11190033244599713
10.0147,1517.1967333184352,169.25549062460965,26.038580613756725,24.995343825854782,24.999781264398468,2446.3159161603962,0.24818957499402644,0.9744949853262403,0.10584344969822229
10.0157,1391.4150520046471,193.21601007230038,26.601917779839177,24.990043281777908,25.000093097463566,3078.1949855445805,0.2576782035724625,0.9917695083688898,0.1126498191474887
10.01575,1387.0572558500282,194.41298966736076,26.630441629339238,24.98977354276765,25.000109522308797,2467.5024512035297,0.252441421955106,0.973262890555757,0.10672254376180054
