uh,x
27.796,-1.0
27.817,-0.99687
27.878,-0.99375
27.98,-0.99063
28.126,-0.9875
28.319,-0.98438
28.561,-0.98125
28.856,-0.97812
29.209,-0.975
29.626,-0.97188
30.113,-0.96875
30.676,-0.96562
31.325,-0.9625
32.067,-0.95938
32.911,-0.95625
33.869,-0.95312
34.951,-0.95
36.169,-0.94687
37.536,-0.94375
39.065,-0.94063
40.77,-0.9375
42.667,-0.93437
44.772,-0.93125
47.1,-0.92813
49.67,-0.925
52.499,-0.92188
55.606,-0.91875
59.01,-0.91562
62.73,-0.9125
66.786,-0.90938
71.198,-0.90625
75.986,-0.90312
81.17,-0.9
86.77,-0.89688
92.806,-0.89375
99.296,-0.89062
106.26,-0.8875
113.71,-0.88437
121.67,-0.88125
130.15,-0.87813
139.17,-0.875
148.73,-0.87187
158.85,-0.86875
169.54,-0.86563
180.79,-0.8625
192.63,-0.85938
205.03,-0.85625
218.02,-0.85312
231.57,-0.85
245.68,-0.84688
260.35,-0.84375
275.56,-0.84062
291.3,-0.8375
307.54,-0.83438
324.27,-0.83125
341.45,-0.82812
359.07,-0.825
377.09,-0.82187
395.48,-0.81875
414.21,-0.81563
433.24,-0.8125
452.53,-0.80937
472.04,-0.80625
491.73,-0.80313
511.56,-0.8
531.48,-0.79688
551.44,-0.79375
571.42,-0.79062
591.35,-0.7875
611.2,-0.78438
630.93,-0.78125
650.49,-0.77812
669.84,-0.775
688.94,-0.77188
707.76,-0.76875
726.25,-0.76562
744.4,-0.7625
762.15,-0.75937
779.5,-0.75625
796.41,-0.75313
812.85,-0.75
828.81,-0.74687
844.28,-0.74375
859.23,-0.74063
873.66,-0.7375
887.55,-0.73438
900.91,-0.73125
913.73,-0.72812
926.0,-0.725
937.74,-0.72188
948.94,-0.71875
959.61,-0.71562
969.77,-0.7125
979.41,-0.70938
988.56,-0.70625
997.22,-0.70312
1005.4,-0.7
1013.2,-0.69687
1020.5,-0.69375
1027.4,-0.69063
