uh,x
1154.1,-0.046875
1155.7,-0.04375
1157.2,-0.040625
1158.8,-0.0375
1160.4,-0.034375
1162.1,-0.03125
1163.7,-0.028125
1165.4,-0.025
1167.1,-0.021875
1168.8,-0.01875
1170.6,-0.015625
1172.3,-0.0125
1174.1,-0.009375
1175.9,-0.00625
1177.6,-0.003125
1179.4,0.0
1179.4,-5.2042e-19
1181.3,0.003125
1183.1,0.00625
1184.9,0.009375
1186.7,0.0125
1188.6,0.015625
1190.5,0.01875
1192.3,0.021875
1194.2,0.025
1196.1,0.028125
1198.0,0.03125
1199.9,0.034375
1201.8,0.0375
1203.8,0.040625
1205.7,0.04375
1207.6,0.046875
1209.6,0.05
1211.6,0.053125
1213.5,0.05625
1215.5,0.059375
1217.5,0.0625
1219.5,0.065625
1221.6,0.06875
1223.6,0.071875
1225.6,0.075
1227.7,0.078125
1229.7,0.08125
1231.8,0.084375
1233.9,0.0875
1236.0,0.090625
1238.1,0.09375
1240.2,0.096875
1242.3,0.1
1244.4,0.10312
1246.6,0.10625
1248.8,0.10938
1250.9,0.1125
1253.1,0.11563
1255.3,0.11875
1257.5,0.12188
1259.7,0.125
1261.9,0.12812
1264.2,0.13125
1266.4,0.13438
1268.7,0.1375
1271.0,0.14062
1273.3,0.14375
1275.6,0.14687
1277.9,0.15
1280.2,0.15313
1282.6,0.15625
1284.9,0.15937
1287.3,0.1625
1289.7,0.16563
1292.1,0.16875
1294.5,0.17188
1296.9,0.175
1299.3,0.17812
1301.8,0.18125
1304.2,0.18438
1306.7,0.1875
1309.2,0.19062
1311.7,0.19375
1314.2,0.19688
1316.8,0.2
1319.3,0.20312
1321.9,0.20625
1324.5,0.20937
1327.1,0.2125
1329.7,0.21563
1332.3,0.21875
1335.0,0.22187
1337.6,0.225
1340.3,0.22813
1343.0,0.23125
1345.7,0.23438
1348.4,0.2375
1351.2,0.24062
1353.9,0.24375
1356.7,0.24688
1359.5,0.25
1362.3,0.25313
1365.2,0.25625
1368.0,0.25938
1370.9,0.2625
1373.8,0.26562
1376.7,0.26875
1379.6,0.27187
1382.5,0.275
1385.5,0.27812
1388.5,0.28125
1391.5,0.28438
1394.5,0.2875
1397.5,0.29063
1400.6,0.29375
1403.7,0.29688
1406.8,0.3
1409.9,0.30312
1413.1,0.30625
1416.2,0.30937
1419.4,0.3125
1422.6,0.31563
1425.9,0.31875
1429.1,0.32188
1432.4,0.325
1435.7,0.32812
1439.0,0.33125
1442.4,0.33437
1445.7,0.3375
1449.1,0.34062
1452.6,0.34375
1456.0,0.34688
1459.5,0.35
1463.0,0.35313
1466.5,0.35625
1470.0,0.35938
1473.6,0.3625
1477.2,0.36562
1480.8,0.36875
1484.5,0.37187
1488.2,0.375
1491.9,0.37813
1495.6,0.38125
1499.4,0.38438
1503.2,0.3875
1507.0,0.39062
1510.9,0.39375
1514.7,0.39687
1518.7,0.4
1522.6,0.40312
1526.6,0.40625
1530.6,0.40938
1534.6,0.4125
1538.7,0.41563
1542.8,0.41875
1546.9,0.42188
1551.1,0.425
1555.3,0.42812
1559.6,0.43125
1563.9,0.43437
1568.2,0.4375
1572.5,0.44063
1576.9,0.44375
1581.3,0.44688
1585.8,0.45
1590.3,0.45312
1594.8,0.45625
1599.4,0.45937
1604.0,0.4625
1608.7,0.46562
1613.4,0.46875
1618.2,0.47188
1622.9,0.475
1627.8,0.47813
1632.7,0.48125
1637.6,0.48438
1642.5,0.4875
1647.5,0.49062
1652.6,0.49375
1657.7,0.49687
1662.9,0.5
1668.1,0.50313
1673.3,0.50625
1678.6,0.50937
1684.0,0.5125
1689.4,0.51562
1694.8,0.51875
1700.3,0.52188
1705.9,0.525
1711.5,0.52812
1717.2,0.53125
1723.0,0.53438
1728.8,0.5375
1734.6,0.54062
1740.5,0.54375
1746.5,0.54688
1752.5,0.55
1758.6,0.55313
1764.8,0.55625
1771.0,0.55937
1777.3,0.5625
1783.7,0.56563
1790.2,0.56875
1796.7,0.57187
1803.2,0.575
1809.9,0.57812
1816.6,0.58125
1823.4,0.58438
1830.3,0.5875
1837.3,0.59062
1844.3,0.59375
1851.5,0.59688
1858.7,0.6
1866.0,0.60312
1873.3,0.60625
1880.8,0.60938
1888.4,0.6125
1896.0,0.61563
1903.8,0.61875
1911.6,0.62187
1919.6,0.625
1927.6,0.62813
1935.8,0.63125
1944.0,0.63437
1952.4,0.6375
1960.9,0.64062
1969.4,0.64375
1978.1,0.64688
1986.9,0.65
1995.9,0.65312
2004.9,0.65625
2014.1,0.65938
2023.4,0.6625
2032.8,0.66562
2042.4,0.66875
2052.1,0.67188
2062.0,0.675
2072.0,0.67813
2082.1,0.68125
2092.4,0.68437
2102.8,0.6875
2113.4,0.69063
2124.2,0.69375
2135.1,0.69687
2146.2,0.7
2157.4,0.70312
2168.8,0.70625
2180.4,0.70938
2192.1,0.7125
2203.9,0.71562
2215.8,0.71875
2227.8,0.72188
2239.7,0.725
2251.5,0.72812
2263.0,0.73125
2274.1,0.73438
2284.5,0.7375
2293.9,0.74063
2301.9,0.74375
2308.0,0.74687
2311.6,0.75
2312.1,0.75313
2308.7,0.75625
2300.6,0.75937
2286.8,0.7625
2266.4,0.76562
2238.5,0.76875
2202.2,0.77188
2156.8,0.775
2101.7,0.77812
2036.7,0.78125
1961.5,0.78438
1876.5,0.7875
1782.3,0.79062
1679.8,0.79375
1570.3,0.79688
1455.3,0.8
1336.6,0.80313
1216.0,0.80625
1095.7,0.80937
977.37,0.8125
863.01,0.81563
754.18,0.81875
652.25,0.82187
558.27,0.825
472.97,0.82812
396.75,0.83125
329.69,0.83438
271.6,0.8375
222.05,0.84062
180.44,0.84375
146.02,0.84688
117.99,0.85
95.508,0.85312
77.75,0.85625
63.935,0.85938
53.351,0.8625
45.365,0.86563
39.429,0.86875
35.083,0.87187
31.95,0.875
29.724,0.87813
28.167,0.88125
27.094,0.88437
26.365,0.8875
25.878,0.89062
25.557,0.89375
25.348,0.89688
25.215,0.9
25.13,0.90312
25.078,0.90625
25.046,0.90938
25.027,0.9125
25.016,0.91562
25.009,0.91875
25.005,0.92188
25.003,0.925
25.001,0.92813
25.001,0.93125
25.0,0.93437
25.0,0.9375
25.0,0.94063
25.0,0.94375
25.0,0.94687
25.0,0.95
25.0,0.95312
25.0,0.95625
25.0,0.95938
25.0,0.9625
25.0,0.96562
25.0,0.96875
25.0,0.97188
25.0,0.975
25.0,0.97812
25.0,0.98125
25.0,0.98438
25.0,0.9875
25.0,0.99063
25.0,0.99375
25.0,0.99687
25.0,1.0
