uh,x
1106.3,-0.15313
1117.3,-0.15
1125.5,-0.14687
1131.4,-0.14375
1135.6,-0.14062
1138.5,-0.1375
1140.4,-0.13438
1141.6,-0.13125
1142.2,-0.12812
1142.4,-0.125
1142.4,-0.12188
1142.3,-0.11875
1142.0,-0.11563
1141.8,-0.1125
1141.6,-0.10938
1141.5,-0.10625
1141.4,-0.10312
1141.4,-0.1
1141.6,-0.096875
1141.9,-0.09375
1142.3,-0.090625
1142.8,-0.0875
1143.4,-0.084375
1144.2,-0.08125
1145.0,-0.078125
1145.9,-0.075
1146.9,-0.071875
1148.0,-0.06875
1149.2,-0.065625
1150.5,-0.0625
1151.8,-0.059375
1153.1,-0.05625
1154.6,-0.053125
1156.0,-0.05
1157.5,-0.046875
1159.1,-0.04375
1160.6,-0.040625
1162.3,-0.0375
1163.9,-0.034375
1165.5,-0.03125
1167.2,-0.028125
1168.9,-0.025
1170.6,-0.021875
1172.4,-0.01875
1174.1,-0.015625
1175.9,-0.0125
1177.7,-0.009375
1179.5,-0.00625
1181.3,-0.003125
1183.1,0.0
1183.1,-5.2042e-19
1184.9,0.003125
1186.8,0.00625
1188.6,0.009375
1190.5,0.0125
1192.3,0.015625
1194.2,0.01875
1196.1,0.021875
1198.0,0.025
1199.9,0.028125
1201.8,0.03125
1203.8,0.034375
1205.7,0.0375
1207.6,0.040625
1209.6,0.04375
1211.6,0.046875
1213.5,0.05
1215.5,0.053125
1217.5,0.05625
1219.5,0.059375
1221.6,0.0625
1223.6,0.065625
1225.6,0.06875
1227.7,0.071875
1229.7,0.075
1231.8,0.078125
1233.9,0.08125
1236.0,0.084375
1238.1,0.0875
1240.2,0.090625
1242.3,0.09375
1244.4,0.096875
1246.6,0.1
1248.8,0.10312
1250.9,0.10625
1253.1,0.10938
1255.3,0.1125
1257.5,0.11563
1259.7,0.11875
1261.9,0.12188
1264.2,0.125
1266.4,0.12812
1268.7,0.13125
1271.0,0.13438
1273.3,0.1375
1275.6,0.14062
1277.9,0.14375
1280.2,0.14687
1282.6,0.15
1284.9,0.15313
1287.3,0.15625
1289.7,0.15937
1292.1,0.1625
1294.5,0.16563
1296.9,0.16875
1299.3,0.17188
1301.8,0.175
1304.2,0.17812
1306.7,0.18125
1309.2,0.18438
1311.7,0.1875
1314.2,0.19062
