uh,x
1166.8,-0.028125
1168.6,-0.025
1170.4,-0.021875
1172.2,-0.01875
1173.9,-0.015625
1175.7,-0.0125
1177.5,-0.009375
1179.4,-0.00625
1181.2,-0.003125
1183.0,0.0
1183.0,-5.2042e-19
1184.8,0.003125
1186.7,0.00625
1188.5,0.009375
1190.4,0.0125
1192.3,0.015625
1194.2,0.01875
1196.1,0.021875
1198.0,0.025
1199.9,0.028125
1201.8,0.03125
1203.7,0.034375
1205.7,0.0375
1207.6,0.040625
1209.6,0.04375
1211.5,0.046875
1213.5,0.05
1215.5,0.053125
1217.5,0.05625
1219.5,0.059375
1221.5,0.0625
1223.6,0.065625
1225.6,0.06875
1227.6,0.071875
1229.7,0.075
1231.8,0.078125
1233.9,0.08125
1235.9,0.084375
1238.0,0.0875
1240.2,0.090625
1242.3,0.09375
1244.4,0.096875
1246.6,0.1
1248.7,0.10312
1250.9,0.10625
1253.1,0.10938
1255.3,0.1125
1257.5,0.11563
1259.7,0.11875
1261.9,0.12188
1264.2,0.125
1266.4,0.12812
1268.7,0.13125
1271.0,0.13438
1273.2,0.1375
1275.6,0.14062
1277.9,0.14375
1280.2,0.14687
1282.5,0.15
1284.9,0.15313
1287.3,0.15625
1289.6,0.15937
1292.0,0.1625
1294.4,0.16563
1296.9,0.16875
1299.3,0.17188
1301.8,0.175
1304.2,0.17812
1306.7,0.18125
1309.2,0.18438
1311.7,0.1875
1314.2,0.19062
1316.8,0.19375
1319.3,0.19688
1321.9,0.2
1324.5,0.20312
1327.1,0.20625
1329.7,0.20937
1332.3,0.2125
1334.9,0.21563
1337.6,0.21875
1340.3,0.22187
1343.0,0.225
1345.7,0.22813
1348.4,0.23125
1351.2,0.23438
1353.9,0.2375
1356.7,0.24062
1359.5,0.24375
1362.3,0.24688
1365.1,0.25
1368.0,0.25313
1370.9,0.25625
1373.8,0.25938
1376.7,0.2625
1379.6,0.26562
1382.5,0.26875
1385.5,0.27187
1388.5,0.275
1391.5,0.27812
1394.5,0.28125
1397.5,0.28438
1400.6,0.2875
1403.7,0.29063
1406.8,0.29375
1409.9,0.29688
1413.1,0.3
1416.2,0.30312
1419.4,0.30625
1422.6,0.30937
1425.9,0.3125
1429.1,0.31563
1432.4,0.31875
1435.7,0.32188
1439.0,0.325
1442.4,0.32812
1445.7,0.33125
1449.1,0.33437
1452.5,0.3375
1456.0,0.34062
1459.5,0.34375
1463.0,0.34688
1466.5,0.35
1470.0,0.35313
1473.6,0.35625
1477.2,0.35938
1480.8,0.3625
1484.5,0.36562
1488.2,0.36875
1491.9,0.37187
1495.6,0.375
1499.4,0.37813
1503.2,0.38125
1507.0,0.38438
1510.9,0.3875
1514.7,0.39062
1518.6,0.39375
1522.6,0.39687
1526.6,0.4
1530.6,0.40312
1534.6,0.40625
1538.7,0.40938
1542.8,0.4125
1546.9,0.41563
1551.1,0.41875
1555.3,0.42188
1559.6,0.425
1563.9,0.42812
1568.2,0.43125
1572.5,0.43437
1576.9,0.4375
1581.3,0.44063
1585.8,0.44375
1590.3,0.44688
1594.8,0.45
1599.4,0.45312
1604.0,0.45625
1608.7,0.45937
1613.4,0.4625
1618.2,0.46562
1622.9,0.46875
1627.8,0.47188
1632.6,0.475
1637.6,0.47813
1642.5,0.48125
1647.5,0.48438
1652.6,0.4875
1657.7,0.49062
1662.9,0.49375
1668.1,0.49687
1673.3,0.5
1678.6,0.50313
1684.0,0.50625
1689.4,0.50937
1694.8,0.5125
1700.3,0.51562
1705.9,0.51875
1711.5,0.52188
1717.2,0.525
1723.0,0.52812
1728.8,0.53125
1734.6,0.53438
1740.5,0.5375
1746.5,0.54062
1752.5,0.54375
1758.6,0.54688
1764.8,0.55
1771.0,0.55313
1777.3,0.55625
1783.7,0.55937
1790.2,0.5625
1796.7,0.56563
1803.2,0.56875
1809.9,0.57187
1816.6,0.575
1823.4,0.57812
1830.3,0.58125
1837.3,0.58438
1844.3,0.5875
1851.5,0.59062
1858.7,0.59375
1866.0,0.59688
1873.3,0.6
1880.8,0.60312
1888.4,0.60625
1896.0,0.60938
1903.8,0.6125
1911.6,0.61563
1919.6,0.61875
1927.6,0.62187
1935.8,0.625
1944.0,0.62813
1952.4,0.63125
1960.9,0.63437
1969.4,0.6375
1978.1,0.64062
1986.9,0.64375
1995.9,0.64688
2004.9,0.65
2014.1,0.65312
2023.4,0.65625
2032.8,0.65938
2042.4,0.6625
2052.1,0.66562
2062.0,0.66875
2072.0,0.67188
2082.1,0.675
2092.4,0.67813
2102.8,0.68125
2113.4,0.68437
2124.2,0.6875
2135.1,0.69063
2146.2,0.69375
2157.4,0.69687
2168.8,0.7
2180.4,0.70312
2192.1,0.70625
2203.9,0.70938
2215.8,0.7125
2227.8,0.71562
2239.7,0.71875
2251.5,0.72188
2263.0,0.725
2274.1,0.72812
2284.5,0.73125
2293.9,0.73438
2301.9,0.7375
2308.0,0.74063
2311.6,0.74375
2312.1,0.74687
2308.7,0.75
2300.6,0.75313
2286.8,0.75625
2266.4,0.75937
2238.5,0.7625
2202.2,0.76562
2156.8,0.76875
2101.7,0.77188
2036.7,0.775
1961.5,0.77812
1876.5,0.78125
1782.3,0.78438
1679.8,0.7875
1570.3,0.79062
1455.3,0.79375
1336.6,0.79688
1216.0,0.8
1095.7,0.80313
977.37,0.80625
863.01,0.80937
754.18,0.8125
652.25,0.81563
558.27,0.81875
472.97,0.82187
396.75,0.825
329.69,0.82812
271.6,0.83125
222.05,0.83438
180.44,0.8375
146.02,0.84062
117.99,0.84375
95.508,0.84688
77.75,0.85
63.935,0.85312
53.351,0.85625
45.365,0.85938
39.429,0.8625
35.083,0.86563
31.95,0.86875
29.724,0.87187
28.167,0.875
27.094,0.87813
26.365,0.88125
25.878,0.88437
25.557,0.8875
25.348,0.89062
25.215,0.89375
25.13,0.89688
25.078,0.9
25.046,0.90312
25.027,0.90625
25.016,0.90938
25.009,0.9125
25.005,0.91562
25.003,0.91875
25.001,0.92188
25.001,0.925
25.0,0.92813
25.0,0.93125
25.0,0.93437
25.0,0.9375
25.0,0.94063
25.0,0.94375
25.0,0.94687
25.0,0.95
25.0,0.95312
25.0,0.95625
25.0,0.95938
25.0,0.9625
25.0,0.96562
25.0,0.96875
25.0,0.97188
25.0,0.975
25.0,0.97812
25.0,0.98125
25.0,0.98438
25.0,0.9875
25.0,0.99063
25.0,0.99375
25.0,0.99687
25.0,1.0
