uh,uh_n,x
1029.4,1632.7,-0.31875
1030.6,1637.6,-0.31563
1031.8,1642.5,-0.3125
1033.0,1647.5,-0.30937
1034.2,1652.6,-0.30625
1035.4,1657.7,-0.30312
1036.6,1662.9,-0.3
1037.8,1668.1,-0.29688
1039.1,1673.3,-0.29375
1040.3,1678.6,-0.29063
1041.5,1684.0,-0.2875
1042.8,1689.4,-0.28438
1044.0,1694.8,-0.28125
1045.3,1700.3,-0.27812
1046.5,1705.9,-0.275
1047.8,1711.5,-0.27187
1049.1,1717.2,-0.26875
1050.3,1723.0,-0.26562
1051.6,1728.8,-0.2625
1052.9,1734.6,-0.25938
1054.2,1740.5,-0.25625
1055.5,1746.5,-0.25313
1056.7,1752.5,-0.25
1058.0,1758.6,-0.24688
1059.4,1764.8,-0.24375
1060.7,1771.0,-0.24062
1062.0,1777.3,-0.2375
1063.3,1783.7,-0.23438
1064.6,1790.2,-0.23125
1065.9,1796.7,-0.22813
1067.3,1803.2,-0.225
1068.6,1809.9,-0.22187
1070.0,1816.6,-0.21875
1071.3,1823.4,-0.21563
1072.7,1830.3,-0.2125
1074.0,1837.3,-0.20937
1075.4,1844.3,-0.20625
1076.8,1851.5,-0.20312
1078.1,1858.7,-0.2
1079.5,1866.0,-0.19688
1080.9,1873.3,-0.19375
1082.3,1880.8,-0.19062
1083.7,1888.4,-0.1875
1085.1,1896.0,-0.18438
1086.5,1903.8,-0.18125
1087.9,1911.6,-0.17812
1089.4,1919.6,-0.175
1090.8,1927.6,-0.17188
1092.2,1935.8,-0.16875
1093.7,1944.0,-0.16563
1095.1,1952.4,-0.1625
1096.5,1960.9,-0.15937
1098.0,1969.4,-0.15625
1099.5,1978.1,-0.15313
1100.9,1986.9,-0.15
1102.4,1995.9,-0.14687
1103.9,2004.9,-0.14375
1105.4,2014.1,-0.14062
1106.9,2023.4,-0.1375
1108.4,2032.8,-0.13438
1109.9,2042.4,-0.13125
1111.4,2052.1,-0.12812
1112.9,2062.0,-0.125
1114.4,2072.0,-0.12188
1116.0,2082.1,-0.11875
1117.5,2092.4,-0.11563
1119.0,2102.8,-0.1125
1120.6,2113.4,-0.10938
1122.1,2124.2,-0.10625
1123.7,2135.1,-0.10312
1125.3,2146.2,-0.1
1126.8,2157.4,-0.096875
1128.4,2168.8,-0.09375
1130.0,2180.4,-0.090625
1131.6,2192.1,-0.0875
1133.2,2203.9,-0.084375
1134.8,2215.8,-0.08125
1136.5,2227.8,-0.078125
1138.1,2239.7,-0.075
1139.7,2251.5,-0.071875
1141.3,2263.0,-0.06875
1143.0,2274.1,-0.065625
1144.7,2284.5,-0.0625
1146.3,2293.9,-0.059375
1148.0,2301.9,-0.05625
1149.7,2308.0,-0.053125
1151.3,2311.6,-0.05
1153.0,2312.1,-0.046875
1154.7,2308.7,-0.04375
1156.4,2300.6,-0.040625
1158.2,2286.8,-0.0375
1159.9,2266.4,-0.034375
1161.6,2238.5,-0.03125
1163.3,2202.2,-0.028125
1165.1,2156.8,-0.025
1166.8,2101.7,-0.021875
1168.6,2036.7,-0.01875
1170.4,1961.5,-0.015625
1172.2,1876.5,-0.0125
1173.9,1782.3,-0.009375
1175.7,1679.8,-0.00625
1177.5,1570.3,-0.003125
1179.4,1455.3,-5.2042e-19
