Time,"T","material","Points:0","Points:1","Points:2"
10.05,382.07,0,-4.272,0,0.12499
10.05,382.62,0,-4.26,0,0.12499
10.05,383.17,0,-4.248,0,0.12499
10.05,383.72,0,-4.236,0,0.12499
10.05,384.26,0,-4.224,0,0.12499
10.05,384.79,0,-4.212,0,0.12499
10.05,385.33,0,-4.2,0,0.12499
10.05,385.86,0,-4.188,0,0.12499
10.05,386.39,0,-4.176,0,0.12499
10.05,386.92,0,-4.164,0,0.12499
10.05,387.46,0,-4.152,0,0.12499
10.05,387.98,0,-4.14,0,0.12499
10.05,388.51,0,-4.128,0,0.12499
10.05,389.04,0,-4.116,0,0.12499
10.05,389.57,0,-4.104,0,0.12499
10.05,390.1,0,-4.092,0,0.12499
10.05,390.63,0,-4.08,0,0.12499
10.05,391.16,0,-4.068,0,0.12499
10.05,391.69,0,-4.056,0,0.12499
10.05,392.23,0,-4.044,0,0.12499
10.05,392.76,0,-4.032,0,0.12499
10.05,393.29,0,-4.02,0,0.12499
10.05,393.83,0,-4.008,0,0.12499
10.05,394.37,0,-3.996,0,0.12499
10.05,394.9,0,-3.984,0,0.12499
10.05,395.44,0,-3.972,0,0.12499
10.05,395.98,0,-3.96,0,0.12499
10.05,396.52,0,-3.948,0,0.12499
10.05,397.07,0,-3.936,0,0.12499
10.05,397.61,0,-3.924,0,0.12499
10.05,398.15,0,-3.912,0,0.12499
10.05,398.7,0,-3.9,0,0.12499
10.05,399.25,0,-3.888,0,0.12499
10.05,399.79,0,-3.876,0,0.12499
10.05,400.34,0,-3.864,0,0.12499
10.05,400.9,0,-3.852,0,0.12499
10.05,401.45,0,-3.84,0,0.12499
10.05,402,0,-3.828,0,0.12499
10.05,402.56,0,-3.816,0,0.12499
10.05,403.11,0,-3.804,0,0.12499
10.05,403.67,0,-3.792,0,0.12499
10.05,404.23,0,-3.78,0,0.12499
10.05,404.79,0,-3.768,0,0.12499
10.05,405.35,0,-3.756,0,0.12499
10.05,405.91,0,-3.744,0,0.12499
10.05,406.48,0,-3.732,0,0.12499
10.05,407.04,0,-3.72,0,0.12499
10.05,407.61,0,-3.708,0,0.12499
10.05,408.18,0,-3.696,0,0.12499
10.05,408.75,0,-3.684,0,0.12499
10.05,409.32,0,-3.672,0,0.12499
10.05,409.9,0,-3.66,0,0.12499
10.05,410.47,0,-3.648,0,0.12499
10.05,411.04,0,-3.636,0,0.12499
10.05,411.62,0,-3.624,0,0.12499
10.05,412.2,0,-3.612,0,0.12499
10.05,412.78,0,-3.6,0,0.12499
10.05,413.36,0,-3.588,0,0.12499
10.05,413.94,0,-3.576,0,0.12499
10.05,414.53,0,-3.564,0,0.12499
10.05,415.11,0,-3.552,0,0.12499
10.05,415.7,0,-3.54,0,0.12499
10.05,416.29,0,-3.528,0,0.12499
10.05,416.88,0,-3.516,0,0.12499
10.05,417.47,0,-3.504,0,0.12499
10.05,418.06,0,-3.492,0,0.12499
10.05,418.66,0,-3.48,0,0.12499
10.05,419.25,0,-3.468,0,0.12499
10.05,419.85,0,-3.456,0,0.12499
10.05,420.45,0,-3.444,0,0.12499
10.05,421.05,0,-3.432,0,0.12499
10.05,421.65,0,-3.42,0,0.12499
10.05,422.25,0,-3.408,0,0.12499
10.05,422.86,0,-3.396,0,0.12499
10.05,423.46,0,-3.384,0,0.12499
10.05,424.07,0,-3.372,0,0.12499
10.05,424.68,0,-3.36,0,0.12499
10.05,425.29,0,-3.348,0,0.12499
10.05,425.9,0,-3.336,0,0.12499
10.05,426.51,0,-3.324,0,0.12499
10.05,427.13,0,-3.312,0,0.12499
10.05,427.75,0,-3.3,0,0.12499
10.05,428.36,0,-3.288,0,0.12499
10.05,428.98,0,-3.276,0,0.12499
10.05,429.6,0,-3.264,0,0.12499
10.05,430.23,0,-3.252,0,0.12499
10.05,430.85,0,-3.24,0,0.12499
10.05,431.48,0,-3.228,0,0.12499
10.05,432.1,0,-3.216,0,0.12499
10.05,432.73,0,-3.204,0,0.12499
