Time,"T","gammaNodes","material","Points:0","Points:1","Points:2"
10.05,57.677,0,1,-5.184,0,0.12499
10.05,58.149,0,1,-5.172,0,0.12499
10.05,58.621,0,1,-5.16,0,0.12499
10.05,59.093,0,1,-5.148,0,0.12499
10.05,59.565,0,1,-5.136,0,0.12499
10.05,60.037,0,1,-5.124,0,0.12499
10.05,63.885,0,1,-5.112,0,0.12499
10.05,71.272,0,1,-5.1,0,0.12499
10.05,78.66,0,1,-5.088,0,0.12499
10.05,102.63,0,1,-5.076,0,0.12499
10.05,135.12,0,1,-5.064,0,0.12499
10.05,167.61,0,1,-5.052,0,0.12499
10.05,231.99,0,1,-5.04,0,0.12499
10.05,302.76,0,1,-5.028,0,0.12499
10.05,317.98,0,1,-5.016,0,0.12499
10.05,314.7,0,1,-5.004,0,0.12499
10.05,313.09,0,0,-4.992,0,0.12499
10.05,312.33,0,0,-4.98,0,0.12499
10.05,312.37,0,0,-4.968,0,0.12499
10.05,312.98,0,0,-4.956,0,0.12499
10.05,314.12,0,0,-4.944,0,0.12499
10.05,315.78,0,0,-4.932,0,0.12499
10.05,317.75,0,0,-4.92,0,0.12499
10.05,320.15,0,0,-4.908,0,0.12499
10.05,322.69,0,0,-4.896,0,0.12499
10.05,325.54,0,0,-4.884,0,0.12499
10.05,328.45,0,0,-4.872,0,0.12499
10.05,331.56,0,0,-4.86,0,0.12499
10.05,334.68,0,0,-4.848,0,0.12499
10.05,337.9,0,0,-4.836,0,0.12499
10.05,341.12,0,0,-4.824,0,0.12499
10.05,344.35,0,0,-4.812,0,0.12499
10.05,347.58,0,0,-4.8,0,0.12499
10.05,350.75,0,0,-4.788,0,0.12499
10.05,353.92,0,0,-4.776,0,0.12499
10.05,356.98,0,0,-4.764,0,0.12499
10.05,360.04,0,0,-4.752,0,0.12499
10.05,362.96,0,0,-4.74,0,0.12499
10.05,365.87,0,0,-4.728,0,0.12499
10.05,368.63,0,0,-4.716,0,0.12499
10.05,371.36,0,0,-4.704,0,0.12499
10.05,373.95,0,0,-4.692,0,0.12499
10.05,376.49,0,0,-4.68,0,0.12499
10.05,378.9,0,0,-4.668,0,0.12499
10.05,381.23,0,0,-4.656,0,0.12499
10.05,383.46,0,0,-4.644,0,0.12499
10.05,385.59,0,0,-4.632,0,0.12499
10.05,387.64,0,0,-4.62,0,0.12499
10.05,389.57,0,0,-4.608,0,0.12499
10.05,391.43,0,0,-4.596,0,0.12499
10.05,393.16,0,0,-4.584,0,0.12499
10.05,394.85,0,0,-4.572,0,0.12499
10.05,396.4,0,0,-4.56,0,0.12499
10.05,397.92,0,0,-4.548,0,0.12499
10.05,399.29,0,0,-4.536,0,0.12499
10.05,400.65,0,0,-4.524,0,0.12499
10.05,401.85,0,0,-4.512,0,0.12499
10.05,403.06,0,0,-4.5,0,0.12499
10.05,404.11,0,0,-4.488,0,0.12499
10.05,405.16,0,0,-4.476,0,0.12499
10.05,406.08,0,0,-4.464,0,0.12499
10.05,406.98,0,0,-4.452,0,0.12499
