"uh","Points:0","Points:1","Points:2"
581.81,-0.79062,2.6021e-19,0
581.81,-0.79062,0,0
603.08,-0.7875,0,0
603.08,-0.7875,0,0
624.24,-0.78438,0,0
624.24,-0.78438,4.3368e-19,0
645.24,-0.78125,-4.3802e-17,0
nan,-0.78125,-4.3802e-17,0
nan,-0.78438,0,0
624.24,-0.78438,0,0
645.24,-0.78125,0,0
645.24,-0.78125,0,0
666.02,-0.77812,0,0
666.02,-0.77812,0,0
686.55,-0.775,0,0
686.55,-0.775,0,0
706.77,-0.77188,0,0
706.77,-0.77188,0,0
726.63,-0.76875,0,0
726.63,-0.76875,4.3368e-19,0
746.09,-0.76562,-4.3802e-17,0
nan,-0.76562,-4.3802e-17,0
nan,-0.76875,0,0
726.63,-0.76875,0,0
746.09,-0.76562,0,0
746.09,-0.76562,4.3368e-19,0
765.12,-0.7625,0,0
765.12,-0.7625,0,0
783.67,-0.75937,0,0
783.67,-0.75937,0,0
801.73,-0.75625,1.7347e-19,0
801.73,-0.75625,0,0
819.25,-0.75313,1.7347e-19,0
819.25,-0.75313,0,0
836.23,-0.75,0,0
nan,-0.75,0,0
nan,-0.75313,0,0
819.25,-0.75313,0,0
836.23,-0.75,-4.2501e-17,0
836.23,-0.75,0,0
852.63,-0.74687,1.7347e-19,0
852.63,-0.74687,0,0
868.46,-0.74375,0,0
nan,-0.74375,0,0
nan,-0.74687,0,0
852.63,-0.74687,0,0
868.46,-0.74375,-4.2501e-17,0
868.46,-0.74375,0,0
883.68,-0.74063,0,0
883.68,-0.74063,0,0
898.31,-0.7375,1.7347e-19,0
898.31,-0.7375,0,0
912.33,-0.73438,-4.2501e-17,0
nan,-0.73438,-4.2501e-17,0
nan,-0.7375,0,0
898.31,-0.7375,0,0
912.33,-0.73438,0,0
912.33,-0.73438,0,0
925.75,-0.73125,0,0
925.75,-0.73125,0,0
938.57,-0.72812,0,0
nan,-0.72812,0,0
nan,-0.73125,0,0
925.75,-0.73125,0,0
938.57,-0.72812,-4.2501e-17,0
938.57,-0.72812,0,0
950.79,-0.725,1.7347e-19,0
950.79,-0.725,0,0
962.43,-0.72188,0,0
962.43,-0.72188,0,0
973.5,-0.71875,0,0
nan,-0.71875,0,0
nan,-0.72188,0,0
962.43,-0.72188,0,0
973.5,-0.71875,-4.2501e-17,0
973.5,-0.71875,0,0
984,-0.71562,1.7347e-19,0
984,-0.71562,0,0
993.97,-0.7125,-4.2501e-17,0
nan,-0.7125,-4.2501e-17,0
nan,-0.71562,0,0
984,-0.71562,0,0
993.97,-0.7125,0,0
993.97,-0.7125,0,0
1003.4,-0.70938,0,0
1003.4,-0.70938,0,0
1012.3,-0.70625,0,0
1012.3,-0.70625,0,0
1020.8,-0.70312,0,0
nan,-0.70312,0,0
nan,-0.70625,0,0
1012.3,-0.70625,0,0
1020.8,-0.70312,-4.2501e-17,0
1020.8,-0.70312,0,0
1028.8,-0.7,0,0
1028.8,-0.7,0,0
1036.3,-0.69687,-4.2501e-17,0
nan,-0.69687,-4.2501e-17,0
nan,-0.7,0,0
1028.8,-0.7,0,0
1036.3,-0.69687,0,0
1036.3,-0.69687,0,0
1043.4,-0.69375,1.7347e-19,0
1043.4,-0.69375,0,0
1050.1,-0.69063,0,0
1050.1,-0.69063,0,0
1056.5,-0.6875,0,0
nan,-0.6875,0,0
nan,-0.69063,0,0
1050.1,-0.69063,0,0
1056.5,-0.6875,-4.2501e-17,0
1056.5,-0.6875,0,0
1062.5,-0.68437,0,0
1062.5,-0.68437,0,0
1068.1,-0.68125,-4.2501e-17,0
nan,-0.68125,-4.2501e-17,0
nan,-0.68437,0,0
1062.5,-0.68437,0,0
1068.1,-0.68125,0,0
1068.1,-0.68125,0,0
1073.4,-0.67813,0,0
1073.4,-0.67813,0,0
1078.4,-0.675,1.7347e-19,0
1078.4,-0.675,0,0
1083.1,-0.67188,0,0
nan,-0.67188,0,0
nan,-0.675,0,0
1078.4,-0.675,0,0
1083.1,-0.67188,-4.2501e-17,0
1083.1,-0.67188,0,0
1087.6,-0.66875,1.7347e-19,0
1087.6,-0.66875,0,0
1091.8,-0.66562,0,0
nan,-0.66562,0,0
nan,-0.66875,0,0
1087.6,-0.66875,0,0
1091.8,-0.66562,-4.2501e-17,0
1091.8,-0.66562,0,0
1095.8,-0.6625,1.7347e-19,0
1095.8,-0.6625,0,0
1099.6,-0.65938,-3.7877e-30,0
1099.6,-0.65938,0,0
1103.2,-0.65625,0,0
nan,-0.65625,0,0
nan,-0.65938,0,0
1099.6,-0.65938,0,0
1103.2,-0.65625,0,0
1103.2,-0.65625,0,0
1106.5,-0.65312,0,0
nan,-0.65312,0,0
nan,-0.65625,1.8939e-30,0
1103.2,-0.65625,1.8939e-30,0
1106.5,-0.65312,0,0
1106.5,-0.65312,0,0
1109.7,-0.65,0,0
1109.7,-0.65,0,0
1112.7,-0.64688,4.5103e-17,0
1112.7,-0.64688,0,0
1115.6,-0.64375,4.5103e-17,0
1115.6,-0.64375,0,0
1118.3,-0.64062,0,0
1118.3,-0.64062,0,0
1120.9,-0.6375,4.4235e-17,0
nan,-0.6375,4.4235e-17,0
nan,-0.64062,0,0
1118.3,-0.64062,0,0
1120.9,-0.6375,0,0
1120.9,-0.6375,0,0
1123.3,-0.63437,0,0
1123.3,-0.63437,0,0
1125.5,-0.63125,4.5103e-17,0
1125.5,-0.63125,0,0
1127.7,-0.62813,0,0
1127.7,-0.62813,0,0
1129.6,-0.625,0,0
1129.6,-0.625,0,0
1131.5,-0.62187,4.4235e-17,0
nan,-0.62187,4.4235e-17,0
nan,-0.625,0,0
1129.6,-0.625,0,0
1131.5,-0.62187,0,0
1131.5,-0.62187,0,0
1133.2,-0.61875,0,0
1133.2,-0.61875,0,0
1134.8,-0.61563,0,0
1134.8,-0.61563,0,0
1136.2,-0.6125,4.5103e-17,0
1136.2,-0.6125,0,0
1137.4,-0.60938,0,0
1137.4,-0.60938,0,0
1138.5,-0.60625,0,0
nan,-0.60625,0,0
nan,-0.60938,0,0
1137.4,-0.60938,0,0
1138.5,-0.60625,4.4235e-17,0
1138.5,-0.60625,0,0
1139.5,-0.60312,0,0
1139.5,-0.60312,0,0
1140.2,-0.6,0,0
1140.2,-0.6,0,0
1140.8,-0.59688,4.5103e-17,0
1140.8,-0.59688,0,0
1141.1,-0.59375,0,0
1141.1,-0.59375,0,0
1141.3,-0.59062,0,0
nan,-0.59062,0,0
nan,-0.59375,0,0
1141.1,-0.59375,0,0
1141.3,-0.59062,4.4235e-17,0
1141.3,-0.59062,0,0
1141.2,-0.5875,0,0
1141.2,-0.5875,0,0
1140.9,-0.58438,0,0
1140.9,-0.58438,0,0
1140.3,-0.58125,0,0
1140.3,-0.58125,0,0
1139.5,-0.57812,0,0
1139.5,-0.57812,0,0
1138.4,-0.575,0,0
nan,-0.575,0,0
nan,-0.57812,0,0
1139.5,-0.57812,0,0
1138.4,-0.575,4.4235e-17,0
1138.4,-0.575,0,0
1137.1,-0.57187,0,0
1137.1,-0.57187,0,0
1135.5,-0.56875,4.5103e-17,0
1135.5,-0.56875,0,0
1133.6,-0.56563,4.5103e-17,0
1133.6,-0.56563,0,0
1131.6,-0.5625,0,0
1131.6,-0.5625,0,0
1129.4,-0.55937,4.4235e-17,0
nan,-0.55937,4.4235e-17,0
nan,-0.5625,0,0
1131.6,-0.5625,0,0
1129.4,-0.55937,0,0
1129.4,-0.55937,0,0
1127.2,-0.55625,0,0
1127.2,-0.55625,0,0
1125,-0.55313,4.5103e-17,0
1125,-0.55313,0,0
1122.9,-0.55,0,0
1122.9,-0.55,0,0
1121.2,-0.54688,0,0
1121.2,-0.54688,0,0
1120,-0.54375,0,0
nan,-0.54375,0,0
nan,-0.54688,0,0
1121.2,-0.54688,0,0
1120,-0.54375,4.4235e-17,0
1120,-0.54375,0,0
1119.3,-0.54062,0,0
1119.3,-0.54062,0,0
1119.1,-0.5375,4.5103e-17,0
1119.1,-0.5375,0,0
1119.5,-0.53438,0,0
1119.5,-0.53438,0,0
1120.4,-0.53125,0,0
1120.4,-0.53125,0,0
1121.8,-0.52812,0,0
nan,-0.52812,0,0
nan,-0.53125,0,0
1120.4,-0.53125,0,0
1121.8,-0.52812,4.4235e-17,0
1121.8,-0.52812,0,0
1123.6,-0.525,0,0
1123.6,-0.525,0,0
1125.8,-0.52188,0,0
1125.8,-0.52188,0,0
1128.3,-0.51875,1.7347e-19,0
1128.3,-0.51875,0,0
1131.1,-0.51562,0,0
1131.1,-0.51562,0,0
1134.1,-0.5125,0,0
nan,-0.5125,0,0
nan,-0.51562,0,0
1131.1,-0.51562,0,0
1134.1,-0.5125,4.4235e-17,0
1134.1,-0.5125,0,0
1137.3,-0.50937,0,0
1137.3,-0.50937,0,0
1140.5,-0.50625,4.5103e-17,0
1140.5,-0.50625,0,0
1143.9,-0.50313,4.5103e-17,0
1143.9,-0.50313,0,0
1147.3,-0.5,0,0
1147.3,-0.5,0,0
1150.7,-0.49687,0,0
nan,-0.49687,0,0
nan,-0.5,0,0
1147.3,-0.5,0,0
1150.7,-0.49687,4.4235e-17,0
1150.7,-0.49687,0,0
1154.1,-0.49375,4.4235e-17,0
1154.1,-0.49375,0,0
1157.4,-0.49062,4.4235e-17,0
1157.4,-0.49062,0,0
1160.7,-0.4875,4.4235e-17,0
1160.7,-0.4875,0,0
1163.9,-0.48438,0,0
1163.9,-0.48438,0,0
1167.1,-0.48125,4.4235e-17,0
1167.1,-0.48125,0,0
1170.2,-0.47813,0,0
1170.2,-0.47813,0,0
1173.2,-0.475,4.4235e-17,0
1173.2,-0.475,0,0
1176.2,-0.47188,4.4235e-17,0
1176.2,-0.47188,0,0
1179,-0.46875,0,0
1179,-0.46875,0,0
1181.8,-0.46562,4.4235e-17,0
1181.8,-0.46562,0,0
1184.5,-0.4625,4.5103e-17,0
1184.5,-0.4625,0,0
1187.2,-0.45937,4.4235e-17,0
1187.2,-0.45937,0,0
1189.8,-0.45625,0,0
1189.8,-0.45625,0,0
1192.3,-0.45312,0,0
1192.3,-0.45312,0,0
1194.8,-0.45,0,0
1194.8,-0.45,0,0
1197.3,-0.44688,0,0
1197.3,-0.44688,0,0
1199.7,-0.44375,0,0
1199.7,-0.44375,0,0
1202.1,-0.44063,4.4235e-17,0
1202.1,-0.44063,0,0
1204.5,-0.4375,0,0
1204.5,-0.4375,0,0
1206.8,-0.43437,4.4235e-17,0
1206.8,-0.43437,0,0
1209.1,-0.43125,0,0
1209.1,-0.43125,0,0
1211.4,-0.42812,4.4235e-17,0
1211.4,-0.42812,0,0
1213.7,-0.425,0,0
1213.7,-0.425,0,0
1216,-0.42188,0,0
1216,-0.42188,0,0
1218.2,-0.41875,4.4235e-17,0
1218.2,-0.41875,0,0
1220.5,-0.41563,0,0
1220.5,-0.41563,0,0
1222.8,-0.4125,0,0
1222.8,-0.4125,0,0
1225,-0.40938,4.4235e-17,0
1225,-0.40938,0,0
1227.3,-0.40625,0,0
1227.3,-0.40625,0,0
1229.6,-0.40312,0,0
1229.6,-0.40312,0,0
1231.8,-0.4,0,0
1231.8,-0.4,0,0
1234.1,-0.39687,0,0
nan,-0.39687,0,0
nan,-0.4,0,0
1231.8,-0.4,0,0
1234.1,-0.39687,4.4235e-17,0
1234.1,-0.39687,0,0
1236.4,-0.39375,4.4235e-17,0
1236.4,-0.39375,0,0
1238.7,-0.39062,0,0
1238.7,-0.39062,0,0
1241,-0.3875,0,0
1241,-0.3875,0,0
1243.3,-0.38438,4.5103e-17,0
1243.3,-0.38438,-9.6296e-35,0
1245.6,-0.38125,4.4235e-17,0
nan,-0.38125,4.4235e-17,0
nan,-0.38438,0,0
1243.3,-0.38438,0,0
1245.6,-0.38125,0,0
1245.6,-0.38125,-7.8265e-32,0
1248,-0.37813,0,0
nan,-0.37813,0,0
nan,-0.38125,0,0
1245.6,-0.38125,0,0
1248,-0.37813,0,0
1248,-0.37813,0,0
1250.3,-0.375,0,0
1250.3,-0.375,0,0
1252.7,-0.37187,0,0
1252.7,-0.37187,0,0
1255,-0.36875,0,0
1255,-0.36875,0,0
1257.4,-0.36562,0,0
nan,-0.36562,0,0
nan,-0.36875,1.8939e-30,0
1255,-0.36875,1.8939e-30,0
1257.4,-0.36562,0,0
1257.4,-0.36562,0,0
1259.8,-0.3625,0,0
nan,-0.3625,0,0
nan,-0.36562,-7.8265e-32,0
1257.4,-0.36562,-7.8265e-32,0
1259.8,-0.3625,0,0
1259.8,-0.3625,1.8939e-30,0
1262.2,-0.35938,4.4235e-17,0
1262.2,-0.35938,0,0
1264.6,-0.35625,0,0
1264.6,-0.35625,1.8939e-30,0
1267.1,-0.35313,0,0
1267.1,-0.35313,1.8939e-30,0
1269.5,-0.35,0,0
nan,-0.35,0,0
nan,-0.35313,0,0
1267.1,-0.35313,0,0
1269.5,-0.35,0,0
1269.5,-0.35,-7.8265e-32,0
1272,-0.34688,0,0
nan,-0.34688,0,0
nan,-0.35,0,0
1269.5,-0.35,0,0
1272,-0.34688,0,0
1272,-0.34688,1.8939e-30,0
1274.5,-0.34375,4.4235e-17,0
1274.5,-0.34375,1.8939e-30,0
1277,-0.34062,-8.6736e-20,0
