"uh","Points:0","Points:1","Points:2"
560.27,-0.79062,2.6021e-19,0
560.27,-0.79062,0,0
581.6,-0.7875,0,0
581.6,-0.7875,0,0
602.87,-0.78438,0,0
602.87,-0.78438,4.3368e-19,0
624.04,-0.78125,-4.3802e-17,0
nan,-0.78125,-4.3802e-17,0
nan,-0.78438,0,0
602.87,-0.78438,0,0
624.04,-0.78125,0,0
624.04,-0.78125,0,0
645.05,-0.77812,0,0
645.05,-0.77812,0,0
665.85,-0.775,0,0
665.85,-0.775,0,0
686.38,-0.77188,0,0
686.38,-0.77188,0,0
706.59,-0.76875,0,0
706.59,-0.76875,4.3368e-19,0
726.45,-0.76562,-4.3802e-17,0
nan,-0.76562,-4.3802e-17,0
nan,-0.76875,0,0
706.59,-0.76875,0,0
726.45,-0.76562,0,0
726.45,-0.76562,4.3368e-19,0
745.91,-0.7625,0,0
745.91,-0.7625,0,0
764.93,-0.75937,0,0
764.93,-0.75937,0,0
783.48,-0.75625,1.7347e-19,0
783.48,-0.75625,0,0
801.52,-0.75313,1.7347e-19,0
801.52,-0.75313,0,0
819.03,-0.75,0,0
nan,-0.75,0,0
nan,-0.75313,0,0
801.52,-0.75313,0,0
819.03,-0.75,-4.2501e-17,0
819.03,-0.75,0,0
835.99,-0.74687,1.7347e-19,0
835.99,-0.74687,0,0
852.37,-0.74375,0,0
nan,-0.74375,0,0
nan,-0.74687,0,0
835.99,-0.74687,0,0
852.37,-0.74375,-4.2501e-17,0
852.37,-0.74375,0,0
868.17,-0.74063,0,0
868.17,-0.74063,0,0
883.37,-0.7375,1.7347e-19,0
883.37,-0.7375,0,0
897.97,-0.73438,-4.2501e-17,0
nan,-0.73438,-4.2501e-17,0
nan,-0.7375,0,0
883.37,-0.7375,0,0
897.97,-0.73438,0,0
897.97,-0.73438,0,0
911.97,-0.73125,0,0
911.97,-0.73125,0,0
925.35,-0.72812,0,0
nan,-0.72812,0,0
nan,-0.73125,0,0
911.97,-0.73125,0,0
925.35,-0.72812,-4.2501e-17,0
925.35,-0.72812,0,0
938.14,-0.725,1.7347e-19,0
938.14,-0.725,0,0
950.33,-0.72188,0,0
950.33,-0.72188,0,0
961.94,-0.71875,0,0
