"uh","Points:0","Points:1","Points:2"
581.74,-0.79062,2.6021e-19,0
581.74,-0.79062,0,0
603.01,-0.7875,0,0
603.01,-0.7875,0,0
624.17,-0.78438,0,0
624.17,-0.78438,4.3368e-19,0
645.17,-0.78125,-4.3802e-17,0
nan,-0.78125,-4.3802e-17,0
nan,-0.78438,0,0
624.17,-0.78438,0,0
645.17,-0.78125,0,0
645.17,-0.78125,0,0
665.96,-0.77812,0,0
665.96,-0.77812,0,0
686.48,-0.775,0,0
686.48,-0.775,0,0
706.7,-0.77188,0,0
706.7,-0.77188,0,0
726.56,-0.76875,0,0
726.56,-0.76875,4.3368e-19,0
746.02,-0.76562,-4.3802e-17,0
nan,-0.76562,-4.3802e-17,0
nan,-0.76875,0,0
726.56,-0.76875,0,0
746.02,-0.76562,0,0
746.02,-0.76562,4.3368e-19,0
765.05,-0.7625,0,0
765.05,-0.7625,0,0
783.61,-0.75937,0,0
783.61,-0.75937,0,0
801.67,-0.75625,1.7347e-19,0
801.67,-0.75625,0,0
819.2,-0.75313,1.7347e-19,0
819.2,-0.75313,0,0
836.17,-0.75,0,0
nan,-0.75,0,0
nan,-0.75313,0,0
819.2,-0.75313,0,0
836.17,-0.75,-4.2501e-17,0
836.17,-0.75,0,0
852.58,-0.74687,1.7347e-19,0
852.58,-0.74687,0,0
868.41,-0.74375,0,0
nan,-0.74375,0,0
nan,-0.74687,0,0
852.58,-0.74687,0,0
868.41,-0.74375,-4.2501e-17,0
868.41,-0.74375,0,0
883.64,-0.74063,0,0
883.64,-0.74063,0,0
898.28,-0.7375,1.7347e-19,0
898.28,-0.7375,0,0
912.31,-0.73438,-4.2501e-17,0
nan,-0.73438,-4.2501e-17,0
nan,-0.7375,0,0
898.28,-0.7375,0,0
912.31,-0.73438,0,0
912.31,-0.73438,0,0
925.73,-0.73125,0,0
925.73,-0.73125,0,0
938.56,-0.72812,0,0
nan,-0.72812,0,0
nan,-0.73125,0,0
925.73,-0.73125,0,0
938.56,-0.72812,-4.2501e-17,0
938.56,-0.72812,0,0
950.79,-0.725,1.7347e-19,0
950.79,-0.725,0,0
962.44,-0.72188,0,0
962.44,-0.72188,0,0
973.53,-0.71875,0,0
nan,-0.71875,0,0
nan,-0.72188,0,0
962.44,-0.72188,0,0
973.53,-0.71875,-4.2501e-17,0
973.53,-0.71875,0,0
984.05,-0.71562,1.7347e-19,0
984.05,-0.71562,0,0
994.04,-0.7125,-4.2501e-17,0
nan,-0.7125,-4.2501e-17,0
nan,-0.71562,0,0
984.05,-0.71562,0,0
994.04,-0.7125,0,0
994.04,-0.7125,0,0
1003.5,-0.70938,0,0
1003.5,-0.70938,0,0
1012.5,-0.70625,0,0
1012.5,-0.70625,0,0
1020.9,-0.70312,0,0
nan,-0.70312,0,0
nan,-0.70625,0,0
1012.5,-0.70625,0,0
1020.9,-0.70312,-4.2501e-17,0
1020.9,-0.70312,0,0
1028.9,-0.7,0,0
1028.9,-0.7,0,0
1036.5,-0.69687,-4.2501e-17,0
nan,-0.69687,-4.2501e-17,0
nan,-0.7,0,0
1028.9,-0.7,0,0
1036.5,-0.69687,0,0
1036.5,-0.69687,0,0
1043.7,-0.69375,1.7347e-19,0
1043.7,-0.69375,0,0
1050.4,-0.69063,0,0
1050.4,-0.69063,0,0
1056.8,-0.6875,0,0
nan,-0.6875,0,0
nan,-0.69063,0,0
1050.4,-0.69063,0,0
1056.8,-0.6875,-4.2501e-17,0
1056.8,-0.6875,0,0
1062.8,-0.68437,0,0
1062.8,-0.68437,0,0
1068.5,-0.68125,-4.2501e-17,0
nan,-0.68125,-4.2501e-17,0
nan,-0.68437,0,0
1062.8,-0.68437,0,0
1068.5,-0.68125,0,0
1068.5,-0.68125,0,0
1073.9,-0.67813,0,0
1073.9,-0.67813,0,0
1079,-0.675,1.7347e-19,0
1079,-0.675,0,0
1083.8,-0.67188,0,0
nan,-0.67188,0,0
nan,-0.675,0,0
1079,-0.675,0,0
1083.8,-0.67188,-4.2501e-17,0
1083.8,-0.67188,0,0
1088.3,-0.66875,1.7347e-19,0
1088.3,-0.66875,0,0
1092.7,-0.66562,0,0
nan,-0.66562,0,0
nan,-0.66875,0,0
1088.3,-0.66875,0,0
1092.7,-0.66562,-4.2501e-17,0
1092.7,-0.66562,0,0
1096.8,-0.6625,1.7347e-19,0
1096.8,-0.6625,0,0
1100.7,-0.65938,-3.7877e-30,0
1100.7,-0.65938,0,0
1104.4,-0.65625,0,0
nan,-0.65625,0,0
nan,-0.65938,0,0
1100.7,-0.65938,0,0
1104.4,-0.65625,0,0
1104.4,-0.65625,0,0
1107.9,-0.65312,0,0
nan,-0.65312,0,0
nan,-0.65625,1.8939e-30,0
1104.4,-0.65625,1.8939e-30,0
1107.9,-0.65312,0,0
1107.9,-0.65312,0,0
1111.3,-0.65,0,0
1111.3,-0.65,0,0
1114.5,-0.64688,4.5103e-17,0
1114.5,-0.64688,0,0
1117.6,-0.64375,4.5103e-17,0
1117.6,-0.64375,0,0
1120.6,-0.64062,0,0
1120.6,-0.64062,0,0
1123.4,-0.6375,4.4235e-17,0
nan,-0.6375,4.4235e-17,0
nan,-0.64062,0,0
1120.6,-0.64062,0,0
1123.4,-0.6375,0,0
1123.4,-0.6375,0,0
1126.1,-0.63437,0,0
1126.1,-0.63437,0,0
1128.8,-0.63125,4.5103e-17,0
1128.8,-0.63125,0,0
1131.3,-0.62813,0,0
1131.3,-0.62813,0,0
1133.7,-0.625,0,0
1133.7,-0.625,0,0
1136.1,-0.62187,4.4235e-17,0
nan,-0.62187,4.4235e-17,0
nan,-0.625,0,0
1133.7,-0.625,0,0
1136.1,-0.62187,0,0
1136.1,-0.62187,0,0
1138.3,-0.61875,0,0
1138.3,-0.61875,0,0
1140.5,-0.61563,0,0
1140.5,-0.61563,0,0
1142.6,-0.6125,4.5103e-17,0
1142.6,-0.6125,0,0
1144.6,-0.60938,0,0
1144.6,-0.60938,0,0
1146.5,-0.60625,0,0
nan,-0.60625,0,0
nan,-0.60938,0,0
1144.6,-0.60938,0,0
1146.5,-0.60625,4.4235e-17,0
1146.5,-0.60625,0,0
1148.4,-0.60312,0,0
1148.4,-0.60312,0,0
1150.1,-0.6,0,0
1150.1,-0.6,0,0
1151.8,-0.59688,4.5103e-17,0
1151.8,-0.59688,0,0
1153.3,-0.59375,0,0
1153.3,-0.59375,0,0
1154.8,-0.59062,0,0
nan,-0.59062,0,0
nan,-0.59375,0,0
1153.3,-0.59375,0,0
1154.8,-0.59062,4.4235e-17,0
1154.8,-0.59062,0,0
1156.1,-0.5875,0,0
1156.1,-0.5875,0,0
1157.4,-0.58438,0,0
1157.4,-0.58438,0,0
1158.5,-0.58125,0,0
1158.5,-0.58125,0,0
1159.5,-0.57812,0,0
1159.5,-0.57812,0,0
1160.3,-0.575,0,0
nan,-0.575,0,0
nan,-0.57812,0,0
1159.5,-0.57812,0,0
1160.3,-0.575,4.4235e-17,0
1160.3,-0.575,0,0
1161,-0.57187,0,0
1161,-0.57187,0,0
1161.5,-0.56875,4.5103e-17,0
1161.5,-0.56875,0,0
1161.9,-0.56563,4.5103e-17,0
1161.9,-0.56563,0,0
1162.1,-0.5625,0,0
1162.1,-0.5625,0,0
1162.2,-0.55937,4.4235e-17,0
nan,-0.55937,4.4235e-17,0
nan,-0.5625,0,0
1162.1,-0.5625,0,0
1162.2,-0.55937,0,0
1162.2,-0.55937,0,0
1162.2,-0.55625,0,0
1162.2,-0.55625,0,0
1162,-0.55313,4.5103e-17,0
1162,-0.55313,0,0
1161.8,-0.55,0,0
1161.8,-0.55,0,0
1161.7,-0.54688,0,0
1161.7,-0.54688,0,0
1161.5,-0.54375,0,0
nan,-0.54375,0,0
nan,-0.54688,0,0
1161.7,-0.54688,0,0
1161.5,-0.54375,4.4235e-17,0
1161.5,-0.54375,0,0
1161.5,-0.54062,0,0
1161.5,-0.54062,0,0
1161.5,-0.5375,4.5103e-17,0
1161.5,-0.5375,0,0
1161.6,-0.53438,0,0
1161.6,-0.53438,0,0
1161.9,-0.53125,0,0
1161.9,-0.53125,0,0
1162.3,-0.52812,0,0
nan,-0.52812,0,0
nan,-0.53125,0,0
1161.9,-0.53125,0,0
1162.3,-0.52812,4.4235e-17,0
1162.3,-0.52812,0,0
1162.8,-0.525,0,0
1162.8,-0.525,0,0
1163.4,-0.52188,0,0
1163.4,-0.52188,0,0
1164.1,-0.51875,1.7347e-19,0
1164.1,-0.51875,0,0
1164.9,-0.51562,0,0
1164.9,-0.51562,0,0
1165.9,-0.5125,0,0
nan,-0.5125,0,0
nan,-0.51562,0,0
1164.9,-0.51562,0,0
1165.9,-0.5125,4.4235e-17,0
1165.9,-0.5125,0,0
1166.9,-0.50937,0,0
1166.9,-0.50937,0,0
1168.1,-0.50625,4.5103e-17,0
1168.1,-0.50625,0,0
1169.3,-0.50313,4.5103e-17,0
1169.3,-0.50313,0,0
1170.6,-0.5,0,0
1170.6,-0.5,0,0
1172,-0.49687,0,0
nan,-0.49687,0,0
nan,-0.5,0,0
1170.6,-0.5,0,0
1172,-0.49687,4.4235e-17,0
1172,-0.49687,0,0
1173.5,-0.49375,4.4235e-17,0
1173.5,-0.49375,0,0
1175,-0.49062,4.4235e-17,0
1175,-0.49062,0,0
1176.6,-0.4875,4.4235e-17,0
1176.6,-0.4875,0,0
1178.2,-0.48438,0,0
1178.2,-0.48438,0,0
1179.9,-0.48125,4.4235e-17,0
1179.9,-0.48125,0,0
1181.6,-0.47813,0,0
1181.6,-0.47813,0,0
1183.3,-0.475,4.4235e-17,0
1183.3,-0.475,0,0
1185.1,-0.47188,4.4235e-17,0
1185.1,-0.47188,0,0
1187,-0.46875,0,0
1187,-0.46875,0,0
1188.8,-0.46562,4.4235e-17,0
1188.8,-0.46562,0,0
1190.7,-0.4625,4.5103e-17,0
1190.7,-0.4625,0,0
1192.6,-0.45937,4.4235e-17,0
1192.6,-0.45937,0,0
1194.5,-0.45625,0,0
1194.5,-0.45625,0,0
1196.5,-0.45312,0,0
1196.5,-0.45312,0,0
1198.4,-0.45,0,0
1198.4,-0.45,0,0
1200.4,-0.44688,0,0
1200.4,-0.44688,0,0
1202.4,-0.44375,0,0
1202.4,-0.44375,0,0
1204.5,-0.44063,4.4235e-17,0
1204.5,-0.44063,0,0
1206.5,-0.4375,0,0
1206.5,-0.4375,0,0
1208.6,-0.43437,4.4235e-17,0
1208.6,-0.43437,0,0
1210.6,-0.43125,0,0
1210.6,-0.43125,0,0
1212.7,-0.42812,4.4235e-17,0
1212.7,-0.42812,0,0
1214.8,-0.425,0,0
1214.8,-0.425,0,0
1216.9,-0.42188,0,0
1216.9,-0.42188,0,0
1219.1,-0.41875,4.4235e-17,0
1219.1,-0.41875,0,0
1221.2,-0.41563,0,0
1221.2,-0.41563,0,0
1223.4,-0.4125,0,0
1223.4,-0.4125,0,0
1225.5,-0.40938,4.4235e-17,0
1225.5,-0.40938,0,0
1227.7,-0.40625,0,0
1227.7,-0.40625,0,0
1229.9,-0.40312,0,0
1229.9,-0.40312,0,0
1232.1,-0.4,0,0
1232.1,-0.4,0,0
1234.4,-0.39687,0,0
nan,-0.39687,0,0
nan,-0.4,0,0
1232.1,-0.4,0,0
1234.4,-0.39687,4.4235e-17,0
1234.4,-0.39687,0,0
1236.6,-0.39375,4.4235e-17,0
1236.6,-0.39375,0,0
1238.9,-0.39062,0,0
1238.9,-0.39062,0,0
1241.1,-0.3875,0,0
1241.1,-0.3875,0,0
1243.4,-0.38438,4.5103e-17,0
1243.4,-0.38438,-9.6296e-35,0
1245.7,-0.38125,4.4235e-17,0
nan,-0.38125,4.4235e-17,0
nan,-0.38438,0,0
1243.4,-0.38438,0,0
1245.7,-0.38125,0,0
1245.7,-0.38125,-7.8265e-32,0
1248,-0.37813,0,0
nan,-0.37813,0,0
nan,-0.38125,0,0
1245.7,-0.38125,0,0
1248,-0.37813,0,0
1248,-0.37813,0,0
1250.4,-0.375,0,0
1250.4,-0.375,0,0
1252.7,-0.37187,0,0
1252.7,-0.37187,0,0
1255.1,-0.36875,0,0
1255.1,-0.36875,0,0
1257.4,-0.36562,0,0
nan,-0.36562,0,0
nan,-0.36875,1.8939e-30,0
1255.1,-0.36875,1.8939e-30,0
1257.4,-0.36562,0,0
1257.4,-0.36562,0,0
1259.8,-0.3625,0,0
nan,-0.3625,0,0
nan,-0.36562,-7.8265e-32,0
1257.4,-0.36562,-7.8265e-32,0
1259.8,-0.3625,0,0
1259.8,-0.3625,1.8939e-30,0
1262.2,-0.35938,4.4235e-17,0
1262.2,-0.35938,0,0
1264.6,-0.35625,0,0
1264.6,-0.35625,1.8939e-30,0
1267.1,-0.35313,0,0
1267.1,-0.35313,1.8939e-30,0
1269.5,-0.35,0,0
nan,-0.35,0,0
nan,-0.35313,0,0
1267.1,-0.35313,0,0
1269.5,-0.35,0,0
1269.5,-0.35,-7.8265e-32,0
1272,-0.34688,0,0
nan,-0.34688,0,0
nan,-0.35,0,0
1269.5,-0.35,0,0
1272,-0.34688,0,0
1272,-0.34688,1.8939e-30,0
1274.4,-0.34375,4.4235e-17,0
1274.4,-0.34375,1.8939e-30,0
1276.9,-0.34062,-8.6736e-20,0
1276.9,-0.34062,0,0
1279.5,-0.3375,0,0
1279.5,-0.3375,0,0
1282,-0.33437,0,0
nan,-0.33437,0,0
nan,-0.3375,1.8939e-30,0
1279.5,-0.3375,1.8939e-30,0
1282,-0.33437,0,0
1282,-0.33437,0,0
1284.5,-0.33125,0,0
nan,-0.33125,0,0
nan,-0.33437,-7.8265e-32,0
1282,-0.33437,-7.8265e-32,0
1284.5,-0.33125,0,0
1284.5,-0.33125,0,0
1287.1,-0.32812,0,0
1287.1,-0.32812,1.8939e-30,0
1289.7,-0.325,-8.6736e-20,0
1289.7,-0.325,1.8939e-30,0
1292.3,-0.32188,0,0
1292.3,-0.32188,1.8939e-30,0
1294.9,-0.31875,0,0
nan,-0.31875,0,0
nan,-0.32188,0,0
1292.3,-0.32188,0,0
1294.9,-0.31875,0,0
1294.9,-0.31875,-7.8265e-32,0
1297.5,-0.31563,0,0
nan,-0.31563,0,0
nan,-0.31875,0,0
1294.9,-0.31875,0,0
1297.5,-0.31563,0,0
1297.5,-0.31563,0,0
1300.1,-0.3125,0,0
1300.1,-0.3125,1.8939e-30,0
1302.8,-0.30937,-8.6736e-20,0
1302.8,-0.30937,1.8939e-30,0
1305.5,-0.30625,0,0
1305.5,-0.30625,0,0
1308.2,-0.30312,0,0
nan,-0.30312,0,0
nan,-0.30625,1.8939e-30,0
1305.5,-0.30625,1.8939e-30,0
1308.2,-0.30312,0,0
1308.2,-0.30312,-7.8265e-32,0
1310.9,-0.3,0,0
nan,-0.3,0,0
nan,-0.30312,0,0
1308.2,-0.30312,0,0
1310.9,-0.3,0,0
1310.9,-0.3,1.8939e-30,0
1313.6,-0.29688,4.4235e-17,0
1313.6,-0.29688,1.8939e-30,0
1316.4,-0.29375,-8.6736e-20,0
1316.4,-0.29375,1.8939e-30,0
1319.2,-0.29063,0,0
1319.2,-0.29063,1.8939e-30,0
1322,-0.2875,0,0
nan,-0.2875,0,0
nan,-0.29063,0,0
1319.2,-0.29063,0,0
1322,-0.2875,0,0
1322,-0.2875,0,0
1324.8,-0.28438,0,0
nan,-0.28438,0,0
