"uh","Points:0","Points:1","Points:2"
581.77,-0.79062,2.6021e-19,0
581.77,-0.79062,0,0
603.03,-0.7875,0,0
603.03,-0.7875,4.3368e-19,0
624.19,-0.78438,2.6021e-19,0
624.19,-0.78438,0,0
645.19,-0.78125,0,0
nan,-0.78125,0,0
nan,-0.78438,4.3368e-19,0
624.19,-0.78438,4.3368e-19,0
645.19,-0.78125,-4.3802e-17,0
645.19,-0.78125,0,0
665.98,-0.77812,0,0
665.98,-0.77812,4.3368e-19,0
686.51,-0.775,2.6021e-19,0
686.51,-0.775,0,0
706.72,-0.77188,0,0
706.72,-0.77188,0,0
726.58,-0.76875,0,0
726.58,-0.76875,0,0
746.05,-0.76562,0,0
nan,-0.76562,0,0
nan,-0.76875,4.3368e-19,0
726.58,-0.76875,4.3368e-19,0
746.05,-0.76562,-4.3802e-17,0
746.05,-0.76562,4.3368e-19,0
765.08,-0.7625,0,0
765.08,-0.7625,0,0
783.64,-0.75937,1.7347e-19,0
783.64,-0.75937,0,0
801.69,-0.75625,0,0
801.69,-0.75625,0,0
819.22,-0.75313,0,0
819.22,-0.75313,0,0
836.2,-0.75,-4.2501e-17,0
nan,-0.75,-4.2501e-17,0
nan,-0.75313,0,0
819.22,-0.75313,0,0
836.2,-0.75,0,0
836.2,-0.75,0,0
852.61,-0.74687,0,0
852.61,-0.74687,0,0
868.44,-0.74375,0,0
nan,-0.74375,0,0
nan,-0.74687,0,0
852.61,-0.74687,0,0
868.44,-0.74375,-4.2501e-17,0
868.44,-0.74375,0,0
883.67,-0.74063,0,0
883.67,-0.74063,0,0
898.31,-0.7375,1.7347e-19,0
898.31,-0.7375,0,0
912.34,-0.73438,0,0
nan,-0.73438,0,0
nan,-0.7375,0,0
898.31,-0.7375,0,0
912.34,-0.73438,-4.2501e-17,0
912.34,-0.73438,0,0
925.76,-0.73125,1.7347e-19,0
925.76,-0.73125,0,0
938.59,-0.72812,-4.2501e-17,0
nan,-0.72812,-4.2501e-17,0
nan,-0.73125,0,0
925.76,-0.73125,0,0
938.59,-0.72812,0,0
938.59,-0.72812,0,0
950.83,-0.725,1.7347e-19,0
950.83,-0.725,0,0
962.48,-0.72188,1.7347e-19,0
962.48,-0.72188,0,0
973.56,-0.71875,-4.2501e-17,0
nan,-0.71875,-4.2501e-17,0
nan,-0.72188,0,0
962.48,-0.72188,0,0
973.56,-0.71875,0,0
973.56,-0.71875,0,0
984.09,-0.71562,0,0
984.09,-0.71562,0,0
994.07,-0.7125,-4.2501e-17,0
nan,-0.7125,-4.2501e-17,0
nan,-0.71562,0,0
984.09,-0.71562,0,0
994.07,-0.7125,0,0
994.07,-0.7125,0,0
1003.5,-0.70938,0,0
1003.5,-0.70938,0,0
1012.5,-0.70625,1.7347e-19,0
1012.5,-0.70625,0,0
1021,-0.70312,-4.2501e-17,0
nan,-0.70312,-4.2501e-17,0
nan,-0.70625,0,0
1012.5,-0.70625,0,0
1021,-0.70312,0,0
1021,-0.70312,0,0
1029,-0.7,0,0
1029,-0.7,0,0
1036.6,-0.69687,0,0
nan,-0.69687,0,0
nan,-0.7,0,0
1029,-0.7,0,0
1036.6,-0.69687,-4.2501e-17,0
1036.6,-0.69687,0,0
1043.7,-0.69375,0,0
1043.7,-0.69375,0,0
1050.5,-0.69063,1.7347e-19,0
1050.5,-0.69063,0,0
1056.9,-0.6875,-4.2501e-17,0
nan,-0.6875,-4.2501e-17,0
nan,-0.69063,0,0
1050.5,-0.69063,0,0
1056.9,-0.6875,0,0
1056.9,-0.6875,0,0
1062.9,-0.68437,0,0
1062.9,-0.68437,0,0
1068.6,-0.68125,0,0
nan,-0.68125,0,0
nan,-0.68437,0,0
1062.9,-0.68437,0,0
1068.6,-0.68125,-4.2501e-17,0
1068.6,-0.68125,0,0
1074,-0.67813,1.7347e-19,0
1074,-0.67813,0,0
1079.1,-0.675,1.7347e-19,0
1079.1,-0.675,0,0
1083.9,-0.67188,-4.2501e-17,0
nan,-0.67188,-4.2501e-17,0
nan,-0.675,0,0
1079.1,-0.675,0,0
1083.9,-0.67188,0,0
1083.9,-0.67188,0,0
1088.4,-0.66875,0,0
1088.4,-0.66875,0,0
1092.8,-0.66562,-4.2501e-17,0
nan,-0.66562,-4.2501e-17,0
nan,-0.66875,0,0
1088.4,-0.66875,0,0
1092.8,-0.66562,0,0
1092.8,-0.66562,0,0
1096.9,-0.6625,1.7347e-19,0
1096.9,-0.6625,0,0
1100.8,-0.65938,-3.7877e-30,0
1100.8,-0.65938,0,0
1104.5,-0.65625,0,0
nan,-0.65625,0,0
nan,-0.65938,0,0
1100.8,-0.65938,0,0
1104.5,-0.65625,0,0
1104.5,-0.65625,0,0
1108.1,-0.65312,0,0
nan,-0.65312,0,0
nan,-0.65625,1.8939e-30,0
1104.5,-0.65625,1.8939e-30,0
1108.1,-0.65312,0,0
1108.1,-0.65312,1.8939e-30,0
