x,uh
-0.059375,1436.3
-0.05625,1441.7
-0.053125,1446.7
-0.05,1451.5
-0.046875,1456.0
-0.04375,1460.3
-0.040625,1464.5
-0.0375,1468.5
-0.034375,1472.5
-0.03125,1476.4
-0.028125,1480.2
-0.025,1484.1
-0.021875,1487.9
-0.01875,1491.7
-0.015625,1495.5
-0.0125,1499.3
-0.009375,1503.1
-0.00625,1507.0
-0.003125,1510.9
-5.2042e-19,1514.8
0.0,1514.8
0.003125,1518.7
0.00625,1522.6
0.009375,1526.6
0.0125,1530.6
0.015625,1534.6
0.01875,1538.7
0.021875,1542.8
0.025,1546.9
0.028125,1551.1
0.03125,1555.3
0.034375,1559.5
0.0375,1563.8
0.040625,1568.1
0.04375,1572.4
0.046875,1576.8
0.05,1581.2
0.053125,1585.7
0.05625,1590.2
0.059375,1594.7
0.0625,1599.2
0.065625,1603.8
0.06875,1608.5
0.071875,1613.2
0.075,1617.9
0.078125,1622.7
0.08125,1627.5
0.084375,1632.3
0.0875,1637.2
0.090625,1642.2
0.09375,1647.2
0.096875,1652.2
0.1,1657.3
0.10312,1662.4
0.10625,1667.6
0.10938,1672.8
0.1125,1678.1
0.11563,1683.4
0.11875,1688.8
0.12188,1694.3
0.125,1699.7
0.12812,1705.3
0.13125,1710.9
0.13438,1716.5
0.1375,1722.2
0.14062,1728.0
0.14375,1733.8
0.14687,1739.7
0.15,1745.6
0.15313,1751.6
0.15625,1757.7
0.15937,1763.8
0.1625,1770.0
0.16563,1776.3
0.16875,1782.6
0.17188,1789.0
0.175,1795.5
0.17812,1802.0
0.18125,1808.6
0.18438,1815.3
0.1875,1822.1
0.19062,1828.9
0.19375,1835.8
0.19688,1842.8
0.2,1849.8
0.20312,1857.0
0.20625,1864.2
0.20937,1871.6
0.2125,1879.0
0.21563,1886.5
0.21875,1894.0
0.22187,1901.7
0.225,1909.5
0.22813,1917.4
0.23125,1925.3
0.23438,1933.4
0.2375,1941.5
0.24062,1949.8
0.24375,1958.2
0.24688,1966.7
0.25,1975.3
0.25313,1984.0
0.25625,1992.8
0.25938,2001.8
0.2625,2010.8
0.26562,2020.0
0.26875,2029.3
0.27187,2038.8
0.275,2048.3
0.27812,2058.0
0.28125,2067.9
0.28438,2077.9
0.2875,2088.0
0.29063,2098.3
0.29375,2108.7
0.29688,2119.3
0.3,2130.0
0.30312,2140.9
0.30625,2152.0
0.30937,2163.2
0.3125,2174.5
0.31563,2186.0
0.31875,2197.6
0.32188,2209.3
0.325,2221.0
0.32812,2232.7
0.33125,2244.3
0.33437,2255.6
0.3375,2266.4
0.34062,2276.5
0.34375,2285.6
0.34688,2293.4
0.35,2299.2
0.35313,2302.6
0.35625,2302.8
0.35938,2299.2
0.3625,2290.8
0.36562,2276.7
0.36875,2256.0
0.37187,2227.9
0.375,2191.3
0.37813,2145.7
0.38125,2090.4
0.38438,2025.1
0.3875,1949.8
0.39062,1864.7
0.39375,1770.5
0.39687,1668.1
0.4,1558.7
0.40312,1444.0
0.40625,1325.8
0.40938,1205.8
0.4125,1086.1
0.41563,968.57
0.41875,855.05
0.42188,747.12
0.425,646.12
0.42812,553.06
0.43125,468.65
0.43437,393.26
0.4375,326.96
0.44063,269.55
0.44375,220.58
0.44688,179.45
0.45,145.42
0.45312,117.69
0.45625,95.423
0.45937,77.816
0.4625,64.097
0.46562,53.565
0.46875,45.599
0.47188,39.66
0.475,35.298
0.47813,32.139
0.48125,29.885
0.48438,28.3
0.4875,27.2
0.49062,26.448
0.49375,25.941
0.49687,25.604
0.5,25.382
0.50313,25.239
0.50625,25.148
0.50937,25.09
0.5125,25.054
0.51562,25.032
0.51875,25.019
0.52188,25.011
0.525,25.006
0.52812,25.004
0.53125,25.002
0.53438,25.001
0.5375,25.001
