time,pt1,pt2,pt3,pt4,pt5,max_val,W,L,Z
50.088706404997,174.04716545718648,174.25600281781917,174.39826286917508,174.41343028690187,174.2978552557147,2965.5988652035817,0.1570592526980626,0.5776428780897876,0.0783386092123192
50.088756404997,174.04739107969928,174.2557897863498,174.39801567178887,174.41316820580818,174.29758843704136,2320.8913745894465,0.1519621759356215,0.5202792545260306,0.0705016295591342
50.089756404997,174.5035869200884,174.252875674523,174.39307888202427,174.40792981703416,174.2922546973015,2995.339540997379,0.1593181652399067,0.8995739319312752,0.083998236517045
50.089806404997,174.52619391142696,174.2527335068725,174.3928320606837,174.40766790567903,174.2919880169007,2349.8879525688094,0.1555133002036866,0.8594076108493542,0.0778598046350854
50.090806404997,177.25662941615136,174.25938462333357,174.38791138144882,174.40243287638629,174.28665705436,3017.94337104677,0.176309945644014,0.948457928763468,0.0901561834754176
50.090856404997,177.30437180403106,174.25974196273145,174.38766538788678,174.4021711329136,174.28639051284782,2398.5594622749272,0.1705160210674152,0.9242067280105876,0.0844104666045279
50.091856404997,186.18981037225356,174.30492917736154,174.38279125367006,174.39693960303984,174.28106236205176,3038.429151722513,0.1956414472934369,0.976121420363695,0.0953923054074989
50.091906404997,186.93646672217213,174.30728727514628,174.38254766487978,174.39667803491253,174.2807959612145,2423.8173666812863,0.1896302400389497,0.957505112560058,0.0892915809548738
50.092906404997,212.9727698660604,174.4595037923507,174.37779199290594,174.39145101800358,174.27547072296147,3075.124160240456,0.2124915135986674,0.9925714471403332,0.0995733888207074
50.092956404997,214.87258955885252,174.46738578724495,174.37755450843076,174.3911896781592,174.27520446800648,2458.361659115543,0.206787822852187,0.972483277368301,0.093319717513878
50.093956404997,269.9696934996465,174.84921931297637,174.37308108894348,174.38597007121393,174.26988225377397,3075.6613932033574,0.2267103471022095,1.0012647803043446,0.1051389162766078
50.094006404997,273.5625931026112,174.8688867961909,174.3728581283333,174.38570910920163,174.26961615028523,2468.51831904483,0.221801356769376,0.9854544573468902,0.0989981155669564
50.095006404997,363.4300528804791,175.65696611978206,174.36906395287724,174.38050134047114,174.26429679674953,3105.2038393615294,0.2389581265293786,1.0091112908177555,0.1096063062036933
50.095056404997,368.9721248374377,175.69737976702754,174.36887595601212,174.380240981256,174.26403083583236,2491.887420319712,0.2339285409507784,0.9933382672405956,0.1034934960918488
50.096056404997,487.0723056173328,177.10576416783107,174.36668445348167,174.37504742913973,174.25871359535222,3103.916285504646,0.2496831801029787,1.013650775800096,0.1133317726200052
50.096106404997,494.0701570657993,177.17771367913087,174.36657891250837,174.37478778587752,174.2584477381589,2496.5458248992204,0.2448659274334806,0.9986704753120076,0.1077872152225979
50.097106404997,623.2104650214834,179.42773296718008,174.36786047314706,174.36960116427414,174.253131443706,3125.0255056846822,0.2589418441608514,1.0219747910113277,0.1157851440823572
50.097156404997,630.5320651525337,179.54229780446127,174.36793326122154,174.36934184791545,174.25286563093067,2512.88213532127,0.2541682334282836,1.0060121254139245,0.1105247390911876
50.098156404997,748.9670655230589,182.82733786597345,174.37596128879125,174.36413562164176,174.24754977133315,3121.1025988152173,0.2670771686349195,1.0233561660097523,0.1182240203611868
50.098206404997,755.460920437029,182.9941155324584,174.3763795178981,174.36387525748523,174.24728397924824,2514.6357620734016,0.2621993084999041,1.0080304187787783,0.1129857929172841
50.099206404997,849.0963999262079,187.4471283385731,174.39618047676964,174.35859598264227,174.24197056308213,3134.163456927098,0.2748491897932043,1.0279900268223163,0.1197003024471
50.099256404997,854.3051479668974,187.67261684622733,174.39719972258388,174.35833183284342,174.24170489856624,2525.1884574848755,0.2703008868514032,1.015396438002698,0.1145950901285236
50.100256404997,917.8208654681788,193.3439331284665,174.43570037749848,174.35289796241364,174.23640040667132,3132.5265974696995,0.2808975158591314,1.0279348175767675,0.1216686594631554
50.100306404997,921.356449991082,193.63044676101669,174.43767153010404,174.35262588264115,174.23613520487257,2526.040204592182,0.2763468515167275,1.0153585248903767,0.1165366618446414
50.101306404997,959.4837438742728,200.48001335283016,174.50358414307743,174.34693603963132,174.2308515985971,3143.361083218693,0.2867143520600826,1.0325044574024365,0.1228745715226615
50.101356404997,961.6766255278004,200.8253293553506,174.5069470361952,174.3466509158328,174.23058747085128,2534.615526114689,0.2823184974012916,1.019731358566158,0.1178667369490324
50.102356404997,981.6843244867762,208.7292292107579,174.61041930829515,174.34060242694423,174.2253414177797,3142.3460226150137,0.2916215679455715,1.0313621774608717,0.1241430137144549
50.102406404997,982.3898159955822,209.12694904083577,174.6156846601479,174.34029912665096,174.2250792084626,2535.333433798438,0.287114581604126,1.019795692920098,0.1191887993542591
50.103406404997,987.0408135180338,217.89636210564083,174.76776206563633,174.33381509625357,174.2198891515404,3148.4068255783955,0.2964572475828132,1.0358420928084522,0.125096158682617
50.103456404997,986.976414618406,218.33688990295653,174.77548416572384,174.33348984216155,174.2196297863298,2540.756103431435,0.2921593412390442,1.022953953939873,0.1201622509889447
50.104456404997,982.5692733368576,227.7423106616091,174.98747721780126,174.3265514950225,174.21451113629192,3148.539760559859,0.3004190150141125,1.0343398662174623,0.1260372169243461
50.104506404997,982.035546241288,228.21407636740224,174.9982220839397,174.32620349400352,174.2142553773901,2541.117861793013,0.2960547136805878,1.0227165490521264,0.1211514333041255
50.105506404997,969.4568452339462,238.01170146265812,175.28105086703982,174.3188835693316,174.20921454274853,3155.3212774671965,0.3045781425296076,1.0387474873797553,0.1268695664419287
