x,y
-1.5937e-05,-5.8331e-05
-1.6302e-05,-5.8438e-05
-2.125e-05,-5.9989e-05
-2.3263e-05,-6.045e-05
-2.6563e-05,-6.1369e-05
-3.0157e-05,-6.2032e-05
-3.1875e-05,-6.2437e-05
-3.6557e-05,-6.3119e-05
-3.7187e-05,-6.3237e-05
-4.179e-05,-6.375e-05
-4.25e-05,-6.3836e-05
-4.2592e-05,-6.3842e-05
-4.7813e-05,-6.4301e-05
-4.8388e-05,-6.4326e-05
-5.3125e-05,-6.4588e-05
-5.3979e-05,-6.4604e-05
-5.8437e-05,-6.4715e-05
-5.8437e-05,-6.4715e-05
-5.9399e-05,-6.4712e-05
-5.9399e-05,-6.4712e-05
-6.375e-05,-6.47e-05
-6.375e-05,-6.47e-05
-6.468e-05,-6.468e-05
-6.468e-05,-6.468e-05
-6.9063e-05,-6.4562e-05
-6.9844e-05,-6.4531e-05
-7.4375e-05,-6.4315e-05
-7.4911e-05,-6.4286e-05
-7.9687e-05,-6.3974e-05
-7.9897e-05,-6.396e-05
-8.2522e-05,-6.375e-05
-8.4815e-05,-6.3565e-05
-8.5e-05,-6.3545e-05
-8.9669e-05,-6.3106e-05
-9.0313e-05,-6.3026e-05
-9.4463e-05,-6.2588e-05
-9.5625e-05,-6.2435e-05
-9.9211e-05,-6.2023e-05
-0.00010094,-6.1786e-05
-0.00010392,-6.1424e-05
-0.00010625,-6.1095e-05
-0.00010861,-6.0798e-05
-0.00011156,-6.0375e-05
-0.00011328,-6.0154e-05
-0.00011687,-5.9635e-05
-0.00011793,-5.9497e-05
-0.00012219,-5.888e-05
-0.00012258,-5.8829e-05
-0.00012526,-5.8437e-05
-0.00012718,-5.8122e-05
-0.0001275,-5.8064e-05
-0.00013174,-5.7363e-05
-0.00013281,-5.7171e-05
-0.00013629,-5.6599e-05
-0.00013812,-5.6279e-05
-0.00014084,-5.5837e-05
-0.00014344,-5.5395e-05
-0.00014539,-5.5081e-05
-0.00014875,-5.4521e-05
-0.00014996,-5.4331e-05
-0.00015406,-5.3657e-05
-0.00015452,-5.3585e-05
-0.00015736,-5.3125e-05
-0.00015905,-5.2798e-05
-0.00015937,-5.2733e-05
-0.00016351,-5.1944e-05
-0.00016469,-5.1718e-05
-0.00016798,-5.1101e-05
-0.00017,-5.0725e-05
-0.00017246,-5.0272e-05
-0.00017531,-4.9756e-05
-0.00017696,-4.9459e-05
-0.00018062,-4.8807e-05
-0.00018147,-4.8658e-05
-0.00018594,-4.7875e-05
-0.00018599,-4.7866e-05
-0.0001863,-4.7812e-05
-0.00019038,-4.694e-05
-0.00019125,-4.6762e-05
-0.00019477,-4.6023e-05
-0.00019656,-4.5667e-05
-0.00019919,-4.5127e-05
-0.00020187,-4.4605e-05
-0.00020363,-4.4252e-05
-0.00020719,-4.3573e-05
-0.00020808,-4.3396e-05
-0.0002125,-4.2563e-05
-0.00021255,-4.2552e-05
-0.00021283,-4.25e-05
-0.00021686,-4.1548e-05
-0.00021781,-4.1342e-05
-0.00022118,-4.0559e-05
-0.00022312,-4.0147e-05
-0.00022554,-3.9599e-05
-0.00022844,-3.8994e-05
-0.00022991,-3.8665e-05
-0.00023375,-3.7876e-05
-0.00023431,-3.7752e-05
-0.00023708,-3.7187e-05
-0.00023708,-3.7188e-05
-0.00023865,-3.6773e-05
-0.00023865,-3.6773e-05
-0.00023906,-3.6674e-05
-0.00023906,-3.6674e-05
-0.00024287,-3.5682e-05
-0.00024287,-3.5682e-05
-0.00024437,-3.5331e-05
-0.00024437,-3.5331e-05
-0.00024713,-3.4627e-05
-0.00024969,-3.404e-05
-0.00025142,-3.3605e-05
-0.000255,-3.2794e-05
-0.00025574,-3.2612e-05
-0.00025902,-3.1875e-05
-0.00026001,-3.1577e-05
-0.00026031,-3.1498e-05
-0.00026412,-3.0375e-05
-0.00026562,-2.9985e-05
-0.00026562,-2.9985e-05
-0.00026828,-2.9216e-05
-0.00026828,-2.9216e-05
-0.00027094,-2.8534e-05
-0.00027094,-2.8534e-05
-0.00027247,-2.8097e-05
-0.00027247,-2.8097e-05
-0.00027625,-2.7138e-05
-0.00027625,-2.7138e-05
-0.0002767,-2.7012e-05
-0.00027848,-2.6562e-05
-0.00028077,-2.5771e-05
-0.00028156,-2.5531e-05
-0.00028476,-2.4445e-05
-0.00028687,-2.3812e-05
-0.00028879,-2.3169e-05
-0.00029219,-2.2164e-05
-0.00029287,-2.1937e-05
-0.00029521,-2.125e-05
-0.00029521,-2.125e-05
-0.00029682,-2.0571e-05
-0.00029682,-2.0571e-05
-0.0002975,-2.032e-05
-0.0002975,-2.032e-05
-0.0003006,-1.9034e-05
-0.0003006,-1.9034e-05
-0.00030281,-1.8223e-05
-0.00030281,-1.8223e-05
-0.00030443,-1.7558e-05
-0.00030443,-1.7558e-05
-0.00030812,-1.6216e-05
-0.00030832,-1.6136e-05
-0.00030887,-1.5938e-05
-0.00031181,-1.4307e-05
-0.00031181,-1.4307e-05
-0.00031344,-1.3501e-05
-0.00031344,-1.3501e-05
-0.0003153,-1.2483e-05
-0.0003153,-1.2483e-05
-0.00031875,-1.079e-05
