"Points:0","Points:1","Points:2"
-0.00016609,2.6613e-05,-2.6613e-05
-0.00016604,2.6615e-05,-2.6615e-05
-0.00016078,2.6958e-05,-2.6958e-05
-0.00016037,2.6974e-05,-2.6974e-05
-0.00015547,2.7287e-05,-2.7287e-05
-0.00015472,2.7315e-05,-2.7315e-05
-0.00015016,2.7601e-05,-2.7601e-05
-0.00014908,2.7637e-05,-2.7637e-05
-0.00014484,2.7897e-05,-2.7897e-05
-0.00014347,2.7938e-05,-2.7938e-05
-0.00013953,2.8174e-05,-2.8174e-05
-0.00013788,2.8217e-05,-2.8217e-05
-0.00013422,2.843e-05,-2.843e-05
-0.00013231,2.8472e-05,-2.8472e-05
-0.00012677,2.8699e-05,-2.8699e-05
-0.00012126,2.8898e-05,-2.8898e-05
-0.00011828,2.9046e-05,-2.9046e-05
-0.00011578,2.9064e-05,-2.9064e-05
-0.00011297,2.9194e-05,-2.9194e-05
-0.00011033,2.9198e-05,-2.9198e-05
-0.00010766,2.9308e-05,-2.9308e-05
-0.00010492,2.9296e-05,-2.9296e-05
-0.00010234,2.9388e-05,-2.9388e-05
-9.955e-05,2.9356e-05,-2.9356e-05
-9.7031e-05,2.943e-05,-2.943e-05
-9.4215e-05,2.9378e-05,-2.9378e-05
-9.1719e-05,2.9433e-05,-2.9433e-05
-8.8921e-05,2.9361e-05,-2.9361e-05
-8.6406e-05,2.9393e-05,-2.9393e-05
-0.00026561,1.5938e-05,-1.5938e-05
-8.3668e-05,2.9301e-05,-2.9301e-05
-8.1094e-05,2.9309e-05,-2.9309e-05
-0.00025744,1.6971e-05,-1.6971e-05
-0.00025641,1.7105e-05,-1.7105e-05
-9.1719e-05,2.9433e-05,-2.9433e-05
-8.8921e-05,2.9361e-05,-2.9361e-05
-8.6406e-05,2.9393e-05,-2.9393e-05
3.6096e-05,1.5276e-16,-1.5276e-16
3.6096e-05,-1.6438e-21,1.2678e-21
3.4416e-05,3.9477e-06,-3.9477e-06
1.443e-05,1.5836e-05,-1.5836e-05
-5.3801e-06,2.125e-05,-2.125e-05
-5.3801e-06,2.125e-05,-2.125e-05
-1.4063e-06,2.0446e-05,-2.0446e-05
2.3372e-06,1.9681e-05,-1.9681e-05
-1.2031e-05,2.2717e-05,-2.2717e-05
-1.0791e-05,2.249e-05,-2.249e-05
-2.019e-06,2.0637e-05,-2.0637e-05
-1.7344e-05,2.3754e-05,-2.3754e-05
-1.5189e-05,2.3404e-05,-2.3404e-05
-2.2656e-05,2.4641e-05,-2.4641e-05
-1.9689e-05,2.4217e-05,-2.4217e-05
-2.7969e-05,2.5384e-05,-2.5384e-05
-2.4298e-05,2.4921e-05,-2.4921e-05
-3.3281e-05,2.6012e-05,-2.6012e-05
-2.9002e-05,2.5529e-05,-2.5529e-05
-4.3906e-05,2.714e-05,-2.714e-05
-4.3388e-05,2.7081e-05,-2.7081e-05
-3.8721e-05,2.6563e-05,-2.6563e-05
-3.8721e-05,2.6563e-05,-2.6563e-05
-3.8721e-05,2.6563e-05,-2.6563e-05
-3.8594e-05,2.6551e-05,-2.6551e-05
-3.3777e-05,2.6067e-05,-2.6067e-05
-4.9219e-05,2.7652e-05,-2.7652e-05
-4.8229e-05,2.7552e-05,-2.7552e-05
-3.8604e-05,2.6552e-05,-2.6552e-05
-5.4531e-05,2.809e-05,-2.809e-05
-5.313e-05,2.7963e-05,-2.7963e-05
-5.9844e-05,2.8456e-05,-2.8456e-05
-5.809e-05,2.8316e-05,-2.8316e-05
-6.5156e-05,2.8756e-05,-2.8756e-05
-6.3105e-05,2.8613e-05,-2.8613e-05
-7.0469e-05,2.8995e-05,-2.8995e-05
-6.8174e-05,2.8857e-05,-2.8857e-05
-7.5781e-05,2.9178e-05,-2.9178e-05
-7.3292e-05,2.9052e-05,-2.9052e-05
-8.1094e-05,2.9309e-05,-2.9309e-05
-7.8457e-05,2.9199e-05,-2.9199e-05
-8.3668e-05,2.9301e-05,-2.9301e-05
