"Points:0","Points:1","Points:2"
-0.00014091,-5.4507e-05,-1e-09
-0.00014484,-5.3861e-05,-1e-09
-0.00014548,-5.3763e-05,-1e-09
-0.00014941,-5.3125e-05,-1e-09
-0.00015004,-5.3005e-05,-1e-09
-0.00015016,-5.2982e-05,-1e-09
-0.0001545,-5.2156e-05,-1e-09
-0.00015547,-5.197e-05,-1e-09
-0.00015897,-5.1315e-05,-1e-09
-0.00016078,-5.0976e-05,-1e-09
-0.00016345,-5.0485e-05,-1e-09
-0.00016609,-5.0004e-05,-1e-09
-0.00016795,-4.9669e-05,-1e-09
-0.00017141,-4.9052e-05,-1e-09
-0.00017246,-4.8866e-05,-1e-09
-0.00017672,-4.8117e-05,-1e-09
-0.00017698,-4.8072e-05,-1e-09
-0.00017847,-4.7812e-05,-1e-09
-0.0001814,-4.7185e-05,-1e-09
-0.00018203,-4.7056e-05,-1e-09
-0.0001858,-4.6266e-05,-1e-09
-0.00018734,-4.5955e-05,-1e-09
-0.00019021,-4.5364e-05,-1e-09
-0.00019266,-4.4885e-05,-1e-09
-0.00019464,-4.4484e-05,-1e-09
-0.00019797,-4.3844e-05,-1e-09
-0.00019909,-4.3622e-05,-1e-09
-0.00020328,-4.2827e-05,-1e-09
-0.00020356,-4.2774e-05,-1e-09
-0.00020501,-4.25e-05,-1e-09
-0.00020791,-4.1815e-05,-1e-09
-0.00020859,-4.1664e-05,-1e-09
-0.00021222,-4.0818e-05,-1e-09
-0.00021391,-4.0457e-05,-1e-09
-0.00021657,-3.9849e-05,-1e-09
-0.00021922,-3.9291e-05,-1e-09
-0.00022094,-3.8906e-05,-1e-09
-0.00022453,-3.816e-05,-1e-09
-0.00022533,-3.7985e-05,-1e-09
-0.00022921,-3.7187e-05,-1e-09
-0.00022971,-3.7054e-05,-1e-09
-0.00022984,-3.7021e-05,-1e-09
-0.00023392,-3.5953e-05,-1e-09
-0.00023516,-3.566e-05,-1e-09
-0.00023817,-3.4885e-05,-1e-09
-0.00024047,-3.4351e-05,-1e-09
-0.00024244,-3.3851e-05,-1e-09
-0.00024578,-3.3086e-05,-1e-09
-0.00024675,-3.2845e-05,-1e-09
-0.00025103,-3.1875e-05,-1e-09
-0.00025108,-3.1859e-05,-1e-09
-0.00025109,-3.1855e-05,-1e-09
-0.00025517,-3.0643e-05,-1e-09
-0.00025641,-3.0317e-05,-1e-09
-6.0219e-05,-6.4126e-05,-1e-09
-6.5156e-05,-6.398e-05,-1e-09
-5.9844e-05,-6.4136e-05,-1e-09
-0.00025931,-2.9468e-05,-1e-09
-0.00026172,-2.8841e-05,-1e-09
-0.00031021,1.0625e-05,-1e-09
-0.00030953,1.0982e-05,-1e-09
-0.00031633,5.3125e-06,-1e-09
-0.00031484,6.5978e-06,-1e-09
-0.00030026,1.5937e-05,-1e-09
-0.00029891,1.6454e-05,-1e-09
-0.00030875,1.1403e-05,-1e-09
-0.00030422,1.3779e-05,-1e-09
-0.0003173,2.8533e-06,-1e-09
-0.0003184,-2.2676e-17,-1e-09
-0.00029804,1.6804e-05,-1e-09
-0.00029359,1.851e-05,-1e-09
-0.00031738,-2.5385e-06,-1e-09
-0.00031633,-5.3125e-06,-1e-09
-0.00028684,2.125e-05,-1e-09
-0.00028297,2.244e-05,-1e-09
-0.00028925,2.0278e-05,-1e-09
-0.00028828,2.0654e-05,-1e-09
-0.00031552,-5.9879e-06,-1e-09
-0.00031484,-6.5978e-06,-1e-09
-0.00028119,2.3024e-05,-1e-09
-0.00027766,2.4121e-05,-1e-09
-0.00031264,-8.4242e-06,-1e-09
-0.00031021,-1.0625e-05,-1e-09
-0.00027031,2.6562e-05,-1e-09
-0.00026703,2.742e-05,-1e-09
-0.00027335,2.556e-05,-1e-09
-0.00027234,2.5874e-05,-1e-09
-0.00030976,-1.0854e-05,-1e-09
-0.00030953,-1.0982e-05,-1e-09
-0.00026584,2.7755e-05,-1e-09
-0.00026172,2.8841e-05,-1e-09
-0.00030624,-1.2645e-05,-1e-09
-0.00030422,-1.3779e-05,-1e-09
-0.00030279,-1.4506e-05,-1e-09
-0.00030026,-1.5938e-05,-1e-09
-0.00029927,-1.6303e-05,-1e-09
-0.00029891,-1.6454e-05,-1e-09
-0.00029541,-1.7753e-05,-1e-09
-0.00029359,-1.851e-05,-1e-09
-0.0002916,-1.9256e-05,-1e-09
-0.00028828,-2.0654e-05,-1e-09
-0.00028785,-2.0818e-05,-1e-09
-0.00028684,-2.125e-05,-1e-09
-0.00028386,-2.2141e-05,-1e-09
-0.00028297,-2.244e-05,-1e-09
-0.0002798,-2.3394e-05,-1e-09
-0.00027766,-2.4121e-05,-1e-09
-0.00027578,-2.4691e-05,-1e-09
-0.00027234,-2.5874e-05,-1e-09
-0.00027182,-2.6036e-05,-1e-09
-0.00027031,-2.6562e-05,-1e-09
-0.0002677,-2.7231e-05,-1e-09
-0.00026703,-2.742e-05,-1e-09
-0.00026349,-2.8332e-05,-1e-09
-0.00026172,-2.8841e-05,-1e-09
-0.00025931,-2.9468e-05,-1e-09
-0.00025641,-3.0317e-05,-1e-09
-0.00025517,-3.0643e-05,-1e-09
-0.00025853,2.975e-05,-1e-09
-0.00025641,3.0317e-05,-1e-09
-6.5377e-05,-6.3971e-05,-1e-09
-6.9848e-05,-6.375e-05,-1e-09
-6.5156e-05,-6.398e-05,-1e-09
-7.044e-05,-6.3722e-05,-1e-09
-7.0469e-05,-6.372e-05,-1e-09
-5.4531e-05,6.4171e-05,-1e-09
-5.4115e-05,6.4166e-05,-1e-09
-4.9219e-05,6.407e-05,-1e-09
-4.891e-05,6.4059e-05,-1e-09
-4.3906e-05,6.3816e-05,-1e-09
-4.3844e-05,6.3812e-05,-1e-09
-4.3058e-05,6.375e-05,-1e-09
3.585e-05,-5.2434e-06,-1e-09
3.5847e-05,-5.3125e-06,-1e-09
-1.7344e-05,5.9706e-05,-1e-09
-1.6346e-05,5.9435e-05,-1e-09
3.5781e-05,-5.7809e-06,-1e-09
-2.2656e-05,6.103e-05,-1e-09
-2.0526e-05,6.0568e-05,-1e-09
3.5051e-05,-1.0625e-05,-1e-09
-2.7969e-05,6.2075e-05,-1e-09
-2.4863e-05,6.1543e-05,-1e-09
3.4771e-05,-1.1636e-05,-1e-09
3.3654e-05,-1.5937e-05,-1e-09
-3.3281e-05,6.2858e-05,-1e-09
-2.9381e-05,6.2337e-05,-1e-09
3.2391e-05,-1.9328e-05,-1e-09
3.1675e-05,-2.125e-05,-1e-09
-3.8594e-05,6.3424e-05,-1e-09
-3.4065e-05,6.2966e-05,-1e-09
3.0469e-05,-2.3844e-05,-1e-09
-3.8893e-05,6.3451e-05,-1e-09
2.9103e-05,-2.6562e-05,-1e-09
2.6712e-05,-3.032e-05,-1e-09
2.5727e-05,-3.1875e-05,-1e-09
2.5156e-05,-3.2649e-05,-1e-09
2.1464e-05,-3.7187e-05,-1e-09
1.9844e-05,-3.8911e-05,-1e-09
1.612e-05,-4.25e-05,-1e-09
1.4531e-05,-4.3846e-05,-1e-09
9.3243e-06,-4.7812e-05,-1e-09
9.2188e-06,-4.7884e-05,-1e-09
9.0358e-06,-4.7995e-05,-1e-09
3.9063e-06,-5.1183e-05,-1e-09
2.0414e-07,-5.3125e-05,-1e-09
-1.4062e-06,-5.3909e-05,-1e-09
-2.7578e-06,-5.4477e-05,-1e-09
-6.7187e-06,-5.6245e-05,-1e-09
-1.1527e-05,-5.7934e-05,-1e-09
-1.2031e-05,-5.814e-05,-1e-09
-1.3058e-05,-5.8437e-05,-1e-09
-1.7344e-05,-5.9706e-05,-1e-09
-1.8984e-05,-6.0077e-05,-1e-09
-2.2656e-05,-6.103e-05,-1e-09
-2.5819e-05,-6.16e-05,-1e-09
-2.7969e-05,-6.2075e-05,-1e-09
-3.2197e-05,-6.2666e-05,-1e-09
-3.3281e-05,-6.2858e-05,-1e-09
-3.8218e-05,-6.3374e-05,-1e-09
-3.8594e-05,-6.3424e-05,-1e-09
-4.3058e-05,-6.375e-05,-1e-09
-4.3906e-05,-6.3816e-05,-1e-09
-4.3975e-05,-6.3819e-05,-1e-09
-4.9219e-05,-6.407e-05,-1e-09
-4.9543e-05,-6.4074e-05,-1e-09
-5.4531e-05,-6.4171e-05,-1e-09
-5.4949e-05,-6.4167e-05,-1e-09
-5.9844e-05,-6.4136e-05,-1e-09
-6.0219e-05,-6.4126e-05,-1e-09
-6.5377e-05,-6.3971e-05,-1e-09
-6.9848e-05,-6.375e-05,-1e-09
-7.044e-05,-6.3722e-05,-1e-09
-7.0469e-05,-6.372e-05,-1e-09
-7.5427e-05,-6.3396e-05,-1e-09
-7.5781e-05,-6.3362e-05,-1e-09
-8.0339e-05,-6.2995e-05,-1e-09
-8.1094e-05,-6.2913e-05,-1e-09
-8.5186e-05,-6.2529e-05,-1e-09
-8.6406e-05,-6.2383e-05,-1e-09
-8.9978e-05,-6.2009e-05,-1e-09
-9.1719e-05,-6.1786e-05,-1e-09
-9.4728e-05,-6.1446e-05,-1e-09
-9.7031e-05,-6.1137e-05,-1e-09
-9.9443e-05,-6.085e-05,-1e-09
-0.00010234,-6.045e-05,-1e-09
-0.00010413,-6.0228e-05,-1e-09
