time,pt1,pt2,pt3,pt4,pt5,max_val,L,W,Z
100.198339411244,213.84626286094888,214.16511650632535,214.35092516869025,214.3691554053368,214.2267359009328,2988.883957131134,0.5965309167616963,0.1580665666284899,0.0788654771599379
100.198389411244,213.8460819493505,214.16482726167183,214.3506051680777,214.3688220815672,214.22639848899223,2337.764764120051,0.5403150490745986,0.1530260410436559,0.0713955450552807
100.199389411244,213.88639742987104,214.15911837056225,214.34420986485796,214.36215863987888,214.21965269128955,3020.5781072869863,0.909039087986989,0.1598827452028031,0.0845439599759813
100.199439411244,213.8885287250215,214.1588331246091,214.34389011147047,214.3618254753808,214.21931540750907,2379.2244649649792,0.8757844030434558,0.1571279225966675,0.0787692476563693
100.200439411244,214.2297275592425,214.15367445494343,214.3374996752657,214.35516523390916,214.21257218967952,3041.366544885424,0.95828608401204,0.178309774347157,0.0913524032741099
100.200489411244,214.24756751449948,214.15341794802728,214.33718016502385,214.3548322294584,214.2122350349344,2414.1990410627886,0.9383876604020416,0.172651148778629,0.085584883303576
100.201489411244,215.5859205945864,214.15068734398895,214.3307939928089,214.34817519781691,214.20549441722,3068.392327194064,0.9799782338473952,0.1986968588915789,0.0967685882078567
100.201539411244,215.6553870172835,214.1505570499745,214.33047469420123,214.34784235387923,214.20515739252957,2454.455960956745,0.965098458197231,0.19326153311862,0.0907657838002901
100.202539411244,219.179718986132,214.15538213939791,214.3240900984225,214.34118855552063,214.19841940349784,3090.2489741509253,0.99974174462833,0.217846630584654,0.1019021528211736
100.202589411244,219.36146290626505,214.1556426085857,214.3237708717288,214.34085587330665,214.1980825103116,2473.2633126256924,0.9841258662053252,0.2121490611223252,0.0957850724101885
100.203589411244,226.53770153713825,214.17879672285744,214.3173802911596,214.33420542100555,214.1913471897797,3112.35346703035,1.005016821167121,0.2320113719768106,0.1079903839584049
100.203639411244,226.90569011513367,214.18000061011952,214.317060746055,214.3338729063848,214.1910104301158,2502.2598528769927,0.99287791300597,0.2269020237263583,0.1020798113148004
100.204639411244,239.11771198260405,214.24009704295588,214.3106510514344,214.32722609771184,214.18427781948012,3123.086153758129,1.0192979767732768,0.2466451891910034,0.1130300951833512
100.204689411244,239.7409369568828,214.2431941676168,214.3103305180829,214.32689376602423,214.18394119540977,2507.768160242836,1.0049449417264569,0.2417524017647966,0.1074200501918428
100.205689411244,257.8100638032943,214.36784874198176,214.30389267631315,214.3202510188097,214.17721132132087,3137.694416758553,1.019527586338754,0.2570018367636052,0.116461559410586
100.205739411244,258.7281546547564,214.3742415836716,214.3035707151872,214.31991889121375,214.17687483413772,2529.7867806753507,1.0063623142168692,0.252459916208928,0.1113202679843267
100.206739411244,282.638135451393,214.59968169948544,214.29713036180917,214.3132802411596,214.1701477267315,3143.11687666276,1.0302463413793796,0.2681437036989275,0.1192360720102162
100.206789411244,283.84813590730806,214.61120205526132,214.29680834447043,214.3129483184068,214.16981137795585,2530.208113781834,1.0197364023685,0.2635707897743831,0.1141310298716735
100.207789411244,312.6406252567674,214.9802672776269,214.29048441326492,214.30631228584787,214.16308719050664,3156.5162817458463,1.0280887579038165,0.2768057267104067,0.121685517737645
100.207839411244,314.09219188918365,214.99907246906065,214.29016852213,214.30598049007853,214.1627509881247,2548.899552269514,1.017763417932458,0.2725778935755376,0.1166657359012072
100.208839411244,346.0918872213836,215.5579479725212,214.28425883074277,214.2993424079974,214.15603026709604,3153.844574018743,1.0378062474006775,0.2854675680337015,0.1237714675948825
100.208889411244,347.69947690900113,215.58635458526683,214.28396440209764,214.29901049788756,214.15569423943103,2543.571779207755,1.026936028801858,0.2812374244267888,0.1188880694101178
100.209889411244,380.9680970141387,216.3806071840644,214.2790479049294,214.29236075053583,214.14897832613667,3168.818321315896,1.0333899981787291,0.291977742712504,0.1257555362975921
100.209939411244,382.6342521624265,216.4208913277958,214.27880457877436,214.2920282331242,214.1486425422388,2562.2604307846173,1.0240849144678912,0.2878725645339264,0.120951918596622
100.210939411244,415.2917434764461,217.4914304025406,214.2758437381277,214.2853511089353,214.14193399831288,3164.8199429428287,1.043453103813975,0.2991307011466242,0.1273554553594182
100.210989411244,416.9227148821336,217.545625694024,214.27570057322916,214.28501718389347,214.14159858926365,2554.9710185966574,1.0322621721903624,0.2951459787449494,0.122538105463088
100.211989411244,447.5316729301841,218.9251504468039,214.27612585854752,214.27829108312528,214.13490147174824,3176.6797963401914,1.0374721665890576,0.3041284107591067,0.1287053676764145
100.212039411244,449.05682128496943,218.99487162469103,214.27615551086257,214.27795465653008,214.13456664401667,2571.1622141819016,1.0280164643507794,0.3003479469971586,0.1240026398930531
100.213039411244,476.63118113409104,220.70522202795803,214.28191700199176,214.271154205304,214.1278864445647,3170.2409418293078,1.047632311701891,0.3099583814063185,0.1298624949154116
100.213089411244,478.0023331481936,220.7915347143748,214.28221822328845,214.2708139999952,214.12755247612657,2561.97200473902,1.0364092964871574,0.306120892303191,0.1251171831525078
100.214089411244,502.0617530704226,222.84218937744447,214.29579503254115,214.2639142856449,214.1208955887252,3184.068724591298,1.0410404706454115,0.3138636958039108,0.1308538082587748
100.214139411244,503.25615179078153,222.9455377353715,214.29649303919567,214.26356905808268,214.12056280129843,2578.536845316207,1.0313033160362604,0.3101415305266253,0.1262432837923885
100.215139411244,523.6797537363486,225.33331740229156,214.32085788593483,214.2565518232624,214.1139354767196,3179.365424690909,1.050612547528607,0.3192646670096496,0.1319088402374694
